"PC1" "PC2" "PC3" "PC4" "pop" "ecotype" "sex" "size" "genotype"
"1" 0.000169960706071797 -0.00484090154954871 0.00371451016038409 -0.00348849954597944 "NOT" "summer_run" "M" 1.0001838267004 "summer_run"
"2" 0.000308047614389435 -0.00893695000629381 0.0204104728682362 -0.000206195602187844 "NOT" "summer_run" "M" 1.00032730188453 "summer_run"
"3" -0.00605316048650494 0.00328329135143074 0.0022405982316864 0.000823665851684469 "NOT" "summer_run" "M" 1.00007036723613 "summer_run"
"4" -0.0135701871006351 0.00180467780323547 0.00539611871525463 -0.00129180229909314 "NOT" "summer_run" "M" 1.00029022129891 "summer_run"
"5" -0.0121335273350533 -0.0121130730000323 -0.00457287253637302 4.40871145555832e-05 "NOT" "summer_run" "M" 1.00022470537637 "summer_run"
"6" -0.0127517596082903 -0.000570665926748948 0.00405034960205116 -0.0024498699710955 "NOT" "summer_run" "F" 1.00017812080984 "summer_run"
"7" 0.00541301925248148 -0.0120694589216233 -0.00697306514037785 -0.000226004464247476 "NOT" "summer_run" "M" 1.00020470794749 "summer_run"
"8" -0.00306298627599122 0.000407557658314536 -0.00687479503677008 -0.0024693515491311 "NOT" "summer_run" "F" 1.00009100818649 "summer_run"
"9" 8.30134269631782e-05 0.00491654976884806 0.010462562720366 -0.00935130751219546 "NOT" "summer_run" "F" 1.00018068954694 "summer_run"
"10" 0.0136293615441452 0.00447460593195885 0.00998289103730821 -0.00175949877958635 "NOT" "summer_run" "M" 1.00025283475106 "summer_run"
"11" 0.00648023166225258 -0.00947123610785338 -0.00428683249970461 0.00633081609043783 "NOT" "summer_run" "F" 1.0001880300752 "summer_run"
"12" 0.00126151625487215 -0.00590720020436692 0.00612987580079079 -0.00867645603713029 "NOT" "summer_run" "M" 1.00016119103599 "summer_run"
"13" -0.00503124708194193 -0.00124430400216732 0.00382430026967333 -0.000583378107318559 "NOT" "summer_run" "M" 1.0000727189922 "summer_run"
"14" -0.0115005187413632 -0.00707437598874678 0.00401306152793203 -0.00727341601455075 "NOT" "summer_run" "M" 1.00019248424921 "summer_run"
"15" -0.00466143873246909 -0.0102928457215988 -0.00830275179262932 -0.00690510298980194 "NOT" "summer_run" "F" 1.00022412216997 "summer_run"
"16" -0.00592231130065082 -0.00340135348150815 -0.00320414552551513 -0.00370582877565539 "NOT" "summer_run" "M" 1.00013602364825 "summer_run"
"17" -0.00125870958311264 -0.00476300175405879 0.00131909039573418 0.000593073542751403 "NOT" "summer_run" "M" 1.00005166422937 "summer_run"
"18" -0.00646701289883007 -0.00184898253597804 -0.00365793380685379 0.000915835592519486 "NOT" "summer_run" "F" 1.00007829736755 "summer_run"
"19" -0.0144396653855771 0.00117422752519624 0.00369972915832912 -0.00682936562196462 "NOT" "summer_run" "F" 1.00019705268372 "summer_run"
"20" -0.00416815802808247 -0.00167266435680942 -0.00190767649964151 0.00237200125074835 "NOT" "summer_run" "M" 1.00007209267865 "summer_run"
"21" -0.0135641711525581 0.00185169348879161 0.00217632813870518 -0.0110688188585689 "NOT" "summer_run" "M" 1.00019476085693 "summer_run"
"22" -0.00341575786161194 -0.00523774167517068 -0.000465686260423337 -0.00499500548824709 "NOT" "summer_run" "F" 1.00010579755003 "summer_run"
"23" -0.00446524269624489 -0.00614100145771887 0.00765219009329081 -0.00583650517847745 "NOT" "summer_run" "F" 1.00026758479967 "summer_run"
"24" 0.000408193799822545 0.00521549363249533 0.00516035595869426 -0.0100850490294435 "NOT" "summer_run" "F" 1.00013658461051 "summer_run"
"25" 0.00010257547074588 0.00319673011061741 0.00059760186683929 -0.00880907381150573 "NOT" "summer_run" "F" 1.00009545552563 "summer_run"
"26" -0.00656349082481583 -0.00873423318825724 0.00478355537497776 -0.00349500801131979 "NOT" "summer_run" "F" 1.00017941688337 "summer_run"
"27" -0.0130795820056099 -0.00396190949514161 0.00374691046374884 -0.00235515555439478 "NOT" "summer_run" "M" 1.00015297320432 "summer_run"
"28" -0.00953870572468998 -0.00326634885273925 0.00168745054411134 -0.00430084374051126 "NOT" "summer_run" "F" 1.00014123492167 "summer_run"
"29" -0.0117279478895559 -0.00236719267157353 0.00836514523976519 -0.00530933742079878 "NOT" "summer_run" "M" 1.00021672158757 "summer_run"
"30" -1.81588081503836e-05 0.0039045485500865 -0.0021371077606384 -0.00146589120543613 "NOT" "summer_run" "M" 1.00010481198969 "summer_run"
"31" -0.00570629781903883 -0.00529133959004756 -0.00782346697943485 0.00308687981004581 "NOT" "summer_run" "M" 1.00014441637027 "summer_run"
"32" -0.00568583803717027 -0.0109588395389005 0.000587579173713014 -0.00596641053880085 "NOT" "summer_run" "F" 1.00014993069851 "summer_run"
"33" 0.00637574222765424 -0.00615968940999036 0.0146254721538077 -0.00399421765069713 "NOT" "summer_run" "F" 1.00026670551039 "summer_run"
"34" -0.0143620014810428 0.007093736498088 0.000157634172336518 0.00223985454303545 "NOT" "summer_run" "F" 1.00025788180025 "summer_run"
"35" -0.0166066895927713 -0.00353588706446366 0.00363528715525842 -0.00362547340723375 "NOT" "summer_run" "R" 1.00019978004061 "summer_run"
"36" -0.0159576009500937 -0.00349829275278336 0.016155760940695 -0.00061658812448049 "NOT" "summer_run" "F" 1.00037545863089 "summer_run"
"37" -0.00353496142680217 0.000922472526846197 0.000407716737349075 0.00122636885392385 "NOT" "summer_run" "M" 1.00006165766071 "summer_run"
"38" -0.00577904767780855 -0.0072928597076716 -0.00414828517194568 -0.00125779712268804 "NOT" "summer_run" "M" 1.00010792165368 "summer_run"
"39" -0.0038819276884441 -0.00313159949495079 0.0117351127730927 0.00833534356736619 "NOT" "summer_run" "F" 1.00022575153211 "summer_run"
"40" -0.00249991850871715 -0.00925241528626105 0.0056763083921367 -0.00720190579591482 "NOT" "summer_run" "M" 1.00014155838426 "summer_run"
"41" 0.0134971976691674 -0.00993956155929278 0.0148693434968237 -0.0023580051514061 "NOT" "summer_run" "M" 1.00033058762505 "summer_run"
"42" -0.00434780754765816 -0.00425478853229252 -0.00485521129500841 -0.0041543544437304 "NOT" "summer_run" "M" 1.00012932883364 "summer_run"
"43" -0.000425386480583228 0.00124307972681045 -0.00752110424967244 -0.00569785755620321 "NOT" "summer_run" "F" 1.00020128116999 "summer_run"
"44" 0.00396698321221877 -0.00618074380014774 0.00597554698989845 -0.000651460786077931 "NOT" "summer_run" "M" 1.0001517569385 "summer_run"
"45" -0.00288317381042179 -0.00198205520754885 0.00347484410015058 -9.33044147447297e-05 "NOT" "summer_run" "M" 1.0001104450454 "summer_run"
"46" -0.00810555927027756 -0.00858425338373615 7.31587942751571e-05 -0.000901011585084583 "NOT" "summer_run" "M" 1.00012172675287 "summer_run"
"47" 0.000697497054484434 0.000840675103304546 0.00325898042787625 -0.00486531004447249 "NOT" "summer_run" "M" 1.00008145821197 "summer_run"
"48" -0.00775446678022957 -0.00183260246348673 0.00359054207745867 -0.00534875442510309 "NOT" "summer_run" "M" 1.00011112676745 "summer_run"
"49" -0.00490888435567832 -0.00887494142258572 0.0152758050131225 0.00626242687042359 "NOT" "summer_run" "M" 1.000341101811 "summer_run"
"50" 0.00728013570193445 -0.00431306872518697 0.00684565785537349 -0.001568466329186 "NOT" "summer_run" "F" 1.0001425670021 "summer_run"
"51" -0.00643064504919071 -0.0039454394072528 0.00691970246862085 0.00253220463615263 "NOT" "summer_run" "M" 1.0001170246152 "summer_run"
"52" -0.0033861807816094 0.000104615054437212 -0.000623010850945786 -0.00290198173549963 "NOT" "summer_run" "M" 1.00012820083236 "summer_run"
"53" -0.0122280810050519 0.00464995698959431 0.00197278882426383 0.0012185631408972 "NOT" "summer_run" "F" 1.00018921228137 "summer_run"
"54" -0.00652986107965892 -0.00212866133868084 -0.00804711807575645 0.00312067230060992 "NOT" "summer_run" "F" 1.00014682697909 "summer_run"
"55" -0.00651052916157191 -0.0211594657932941 -0.0054332990332074 0.00166674050984101 "NOT" "summer_run" "M" 1.00038128642335 "summer_run"
"56" -0.0182193508137983 -0.00867243034931771 0.00389523759598799 -0.00475407051227654 "NOT" "summer_run" "M" 1.00035046341918 "summer_run"
"57" -0.00778882036214007 0.000468248606545233 0.00124127800240449 -0.000873251141572866 "NOT" "summer_run" "M" 1.00013794545376 "summer_run"
"58" -0.0107274840048686 0.0013274006415573 0.00103253751632042 -0.00685917453869356 "NOT" "summer_run" "M" 1.00016356965515 "summer_run"
"59" -0.0104808994210215 0.00106748926151866 -0.00214546704065626 0.00154433216356589 "NOT" "summer_run" "F" 1.00011631345437 "summer_run"
"60" 0.00252762354627251 0.00213408802214497 -0.00537946923296783 0.00582661925375397 "NOT" "summer_run" "F" 1.00017834831625 "summer_run"
"61" -0.0137560119770563 -0.00205717314119189 0.00153735468827034 -0.000130765669241116 "NOT" "summer_run" "M" 1.00016734637116 "summer_run"
"62" -0.00875948266843861 0.00145233476752217 -0.00292822198005081 -0.00288303068664716 "NOT" "summer_run" "M" 1.00011958329051 "summer_run"
"63" -0.00459884146892137 0.0100418725360475 0.00528245676516581 -0.00346206193042113 "NOT" "summer_run" "M" 1.00017875390289 "summer_run"
"64" 0.0141553561865923 -0.0136392572683825 -0.0119737230759509 0.00063952285596968 "NOT" "summer_run" "F" 1.000349874451 "summer_run"
"65" -0.00853330818480384 -0.00526158930572767 0.000805215627240627 -0.00338536080291754 "NOT" "summer_run" "M" 1.00016539301165 "summer_run"
"66" -0.004340415171878 0.000149482113779749 0.00528983747565381 0.00786236570082797 "NOT" "summer_run" "M" 1.00015421141272 "summer_run"
"67" -0.00598893760346306 -0.00572615104540504 0.00294060534204621 -0.000271005100479614 "NOT" "summer_run" "F" 1.00012883035723 "summer_run"
"68" -0.0126674208150164 -0.0023934770028252 -0.00893766563921101 -0.00322786115953382 "NOT" "summer_run" "F" 1.00022112402663 "summer_run"
"69" 0.00273760985897176 0.00298168887805804 0.000870217246390257 0.00398718707259311 "RUP" "fall_run" "F" 1.00007390128384 "fall_run"
"70" -0.0021161498815534 0.00836390624869488 0.00751006876785604 -0.00144274000702732 "RUP" "fall_run" "F" 1.00011332518964 "fall_run"
"71" 0.00954848678511864 -0.00414048095997636 0.0107788954477141 0.00219987305550964 "RUP" "fall_run" "M" 1.00018778407356 "fall_run"
"72" -0.00456760317329286 0.00422875309770563 0.0040981067897523 0.00232889101952733 "RUP" "fall_run" "F" 1.00011001061442 "fall_run"
"73" 0.0138155031234776 0.00277276783785034 0.0016797901221128 0.00191189357211089 "RUP" "fall_run" "F" 1.00019246343163 "fall_run"
"74" 0.000524668672124097 0.00900687649916126 0.00525664631860122 -0.001804358667256 "RUP" "fall_run" "F" 1.00017410501678 "fall_run"
"75" 0.00634806462580062 0.000784847342695252 0.0112438235714437 0.00673491973510598 "RUP" "fall_run" "F" 1.0001486463555 "fall_run"
"76" 0.00451677939689589 0.00952170535267304 0.00375824661427231 -0.00559595953857161 "RUP" "fall_run" "M" 1.00014917890626 "fall_run"
"77" 0.0221426856864115 -0.00207874113686206 0.00452109517948362 -0.00219850443653038 "RUP" "fall_run" "M" 1.00039334254427 "fall_run"
"78" 0.0134578384459494 -0.0168420692186135 0.00737652780928676 0.00377372909599916 "RUP" "fall_run" "M" 1.00033686721493 "fall_run"
"79" 0.00267852124312386 -0.00436191648327483 0.00403596562983729 -0.000695084736486835 "RUP" "fall_run" "F" 1.00014171050384 "fall_run"
"80" 0.00198820191159652 0.00783571113645584 -0.000630154339951365 -0.00840202853361879 "RUP" "fall_run" "F" 1.0001134086208 "fall_run"
"81" 8.37553085058365e-05 0.000105224925351801 0.00384411994371599 -0.000962773118619881 "RUP" "fall_run" "F" 1.0000924467118 "fall_run"
"82" 0.00180976058980796 0.00562913999469433 -0.00105132491689252 0.00220031177258848 "RUP" "fall_run" "F" 1.00006669771317 "fall_run"
"83" 0.0163734455529377 -0.00579026826447066 -0.00572274958668828 -0.00386712698722581 "RUP" "fall_run" "M" 1.00032423937948 "fall_run"
"84" 0.0111354743185269 -0.00962680661401437 0.000325394750609152 -0.000969832443672459 "RUP" "fall_run" "F" 1.00015392149385 "fall_run"
"85" 0.00559476256106179 0.0134710819700434 -0.00467612785143393 0.000724327487685873 "RUP" "fall_run" "F" 1.00021108233913 "fall_run"
"86" 0.00170000974963133 0.00766580755774783 0.00462609756400885 -0.00228409446335915 "RUP" "fall_run" "M" 1.00013083569719 "fall_run"
"87" 0.00416422690669437 0.00542253638724582 -0.0108574159566405 0.00135887890061171 "RUP" "fall_run" "F" 1.0001553194733 "fall_run"
"88" 0.0072454079576687 -0.000407143092236829 0.00516534977363139 -0.00414274327232354 "RUP" "fall_run" "F" 1.00008519987187 "fall_run"
"89" 0.00943726546968103 0.00359002714381958 -0.00442353222242369 -0.000289570193247353 "RUP" "fall_run" "F" 1.00011703248628 "fall_run"
"90" 0.0109205629547592 -0.00544440325665799 -0.0014551340874795 -0.00877099731262504 "RUP" "fall_run" "F" 1.00022244215846 "fall_run"
"91" -0.00317976132685269 -0.00865402844232657 0.00616491902498921 0.00250606518179488 "RUP" "fall_run" "M" 1.00014441422375 "fall_run"
"92" -0.00741183568428189 0.00207549993432876 0.00242085673647509 0.0106328391660411 "RUP" "fall_run" "F" 1.00013351532407 "fall_run"
"93" 0.0115001646937198 -0.00782225509207496 0.000105495686339884 0.00649936502572408 "RUP" "fall_run" "M" 1.00018534148049 "fall_run"
"94" -0.004166104205513 0.00175478407000262 0.00169231118992675 0.0102167892005493 "RUP" "fall_run" "M" 1.00014293276306 "fall_run"
"95" -0.00920058967523442 0.0104790539443754 0.00203171805051236 -0.00142472879804019 "RUP" "fall_run" "F" 1.00017149974708 "fall_run"
"96" -0.00702338302822585 0.00807769893481656 -0.000103331825009113 0.0115590067100505 "RUP" "fall_run" "F" 1.00025141314054 "fall_run"
"97" -0.00573622473908142 -0.00365489139381352 -0.00418001496844003 0.00383931701840011 "RUP" "fall_run" "M" 1.00012147746962 "fall_run"
"98" 0.000949095997729679 0.00181392355315802 -0.00735746392043574 0.00150917966396515 "RUP" "fall_run" "M" 1.00009363818588 "fall_run"
"99" 0.00689171343560795 0.0102252986464054 0.00158824626485129 -0.00892488618934416 "RUP" "fall_run" "F" 1.00015720691397 "fall_run"
