sample_id,FISHES_id,long_tot,long_fourche,mass,sex,egg_dvpment,pop,ecotype,true_eco,genotype,STL,MXL,MDL,POL,OOL,PSL,TTL,DOL,LUL,ANL,CPL,CPD,PCL,PVL,BDD,HDD,AMO,HEA,lower_gill_raker,upper_gill_raker,middle_gill_raker_length,data.sample_id,pc1_geomorph,true_age,confiance,X1_um,X2_um,X3_um,X4_um,X5_um,X6_um,X7_um,X8_um,X9_um,infered_age
NOT_16EARLY,coarNOTs_7516-21,384,353,435,M,2,NOT_summer,summer_run,summer_run,NOT_summer,32.76,2.05,3.25,1.62,1.4,4.43,10.2,3.68,8.16,3.67,2.75,4.29,4.61,3.6,7.48,3.19,58.81,5.06,26,15,56,NOT_16EARLY,-0.005922311,5,2,747.8532,1188.2867,1452.2673,1670.6234,1768.3164,1852.8863,NA,NA,NA,5
NOT_17EARLY,coarNOTs_7517-21,375,352,524,M,3,NOT_summer,summer_run,summer_run,NOT_summer,32.01,2.02,3.25,1.36,1.35,3.74,10.25,3.94,8.14,3.52,2.56,4.15,4.09,3.63,7.35,3.16,52.59,4.87,25,15,61,NOT_17EARLY,-0.00125871,5,2,741.9536,1144.7495,1438.6575,1574.1063,1723.1301,1870.0242,NA,NA,NA,5
NOT_18EARLY,coarNOTs_7518-21,375,340,489,F,3,NOT_summer,summer_run,summer_run,NOT_summer,31.23,1.86,3.01,1.43,1.37,3.69,9.81,3.89,7.93,3.23,2.58,3.96,4.54,3.66,7.22,2.96,64.12,4.76,24,14,56,NOT_18EARLY,-0.006467013,5,1,850.1092,1211.5399,1456.8436,1567.5794,1674.2234,1789.7431,NA,NA,NA,5
NOT_19EARLY,coarNOTs_7519-21,394,362,584,F,3,NOT_summer,summer_run,summer_run,NOT_summer,33.05,2.23,3.19,1.5,1.34,4.11,10.61,4.13,7.87,3.6,2.49,4.53,4.61,3.93,7.6,3.13,65.34,5.07,25,13,56,NOT_19EARLY,-0.014439665,6,1,746.9073,922.7288,1121.6976,1312.0382,1436.5836,1517.2723,1635.401,NA,NA,6
NOT_20EARLY,coarNOTs_7520-21,401,365,637,M,3,NOT_summer,summer_run,summer_run,NOT_summer,33.77,2.07,3.21,1.5,1.33,4.17,10.79,3.88,8.53,3.31,2.66,4.57,4.57,3.66,7.66,3,67.74,4.86,26,16,60,NOT_20EARLY,-0.004168158,6,1,894.6837,1272.9363,1465.9559,1762.6752,1866.0411,1983.3185,2035.7666,NA,NA,6
NOT_21EARLY,coarNOTs_7521-21,467,427,1000,M,3,NOT_summer,summer_run,summer_run,NOT_summer,39.13,2.31,3.53,1.83,1.34,4.89,13.01,4.11,9.79,4.41,2.99,5.38,5.52,5.03,8.92,3.62,57.49,5.45,27,15,65,NOT_21EARLY,-0.013564171,8,1,756.0417,1031.6146,1266.6842,1410.7944,1524.8782,1660.3025,1715.1342,1776.1582,1834.133,8
NOT_22EARLY,coarNOTs_7522-21,375,346,496,F,3,NOT_summer,summer_run,summer_run,NOT_summer,31.76,1.87,3.01,1.43,1.27,4.14,9.86,3.32,8.16,3.22,2.49,4.57,4.06,4.23,7.09,2.93,70.28,4.79,27,16,63,NOT_22EARLY,-0.003415758,5,1,812.6973,1170.3077,1430.5513,1565.9509,1663.8497,1784.9548,NA,NA,NA,5
NOT_23EARLY,coarNOTs_7523-21,429,386,752,F,3,NOT_summer,summer_run,summer_run,NOT_summer,36.1,1.98,2.94,1.25,1.27,4.07,11.78,4.44,8.97,3.65,2.71,5.34,4.42,4.52,8.11,3.18,72.29,4.02,26,16,52,NOT_23EARLY,-0.004465243,7,2,747.1852,1039.2566,1315.096,1542.0157,1644.4966,1726.3764,1811.4883,1843.4634,NA,7
NOT_24EARLY,coarNOTs_7524-21,425,392,879,F,3,NOT_summer,summer_run,summer_run,NOT_summer,36.27,1.99,3.12,1.59,1.19,4.22,12.4,4.39,9.16,4.08,2.83,4.93,5.17,3.85,8.89,3.25,60.81,5.33,28,16,57,NOT_24EARLY,0.000408,6,2,646.0827,884.0279,1097.4517,1350.1826,1489.3224,1613.1917,1735.596,NA,NA,6
NOT_25EARLY,coarNOTs_7525-21,379,348,580,F,3,NOT_summer,summer_run,summer_run,NOT_summer,32.1,1.84,2.87,1.33,1.11,4.14,10.3,3.95,7.88,3.49,2.56,4.48,4.68,3.8,7.64,2.95,60.34,4.66,26,15,52,NOT_25EARLY,0.000103,4,1,559.2848,998.9054,1213.6644,1408.2921,1573.9476,NA,NA,NA,NA,4
NOT_26EARLY,coarNOTs_7526-21,422,382,699,F,3,NOT_summer,summer_run,summer_run,NOT_summer,35.99,2.19,3.28,1.62,1.32,4.07,11.79,4.28,8.32,4.02,2.6,4.85,4.45,4.05,7.79,3.21,63.89,5.01,28,16,63,NOT_26EARLY,-0.006563491,4,1,831.876,1213.1955,1438.1029,1530.381,1638.8512,NA,NA,NA,NA,4
NOT_27EARLY,coarNOTs_7527-21,405,373,688,M,3,NOT_summer,summer_run,summer_run,NOT_summer,35.4,2.12,3.47,1.69,1.41,4.22,11.47,4.29,8.55,3.85,2.76,4.62,5.38,3.81,7.88,3.33,54.31,5.16,24,15,59,NOT_27EARLY,-0.013079582,5,1,673.3911,1023.3785,1244.5658,1407.3221,1529.7531,1600.3408,NA,NA,NA,5
NOT_28EARLY,coarNOTs_7528-21,393,359,571,F,3,NOT_summer,summer_run,summer_run,NOT_summer,32.45,2.06,3.11,1.45,1.31,3.82,10.42,3.86,8.24,3.21,2.46,4.76,4.68,4.22,7.34,3.2,50.29,4.47,26,14,65,NOT_28EARLY,-0.009538706,6,1,612.602,1028.8485,1184.9363,1303.5988,1381.5862,1453.6138,1555.8726,NA,NA,6
NOT_29EARLY,coarNOTs_7529-21,386,354,568,M,3,NOT_summer,summer_run,summer_run,NOT_summer,32.65,1.6,2.8,1.23,1.36,4.05,10.55,3.9,7.88,3.53,2.53,4.58,4.48,4.27,7.39,2.83,66.13,4.67,25,15,57,NOT_29EARLY,-0.011727948,5,1,829.5955,1174.552,1370.4916,1497.2997,1612.8781,1714.3894,NA,NA,NA,5
NOT_30EARLY,coarNOTs_7530-21,366,336,502,M,3,NOT_summer,summer_run,summer_run,NOT_summer,30.99,1.92,3.07,1.47,1.28,3.72,9.84,3.6,8.27,3.18,2.77,4.01,4.55,3.41,7.57,3.03,66.26,4.69,26,16,55,NOT_30EARLY,-1.82E-05,5,2,613.5698,829.8088,1145.6202,1362.4088,1563.1816,1622.3395,NA,NA,NA,5
NOT_31EARLY,coarNOTs_7531-21,397,364,566,M,3,NOT_summer,summer_run,summer_run,NOT_summer,33.74,2.44,3.38,1.72,1.43,4.34,10.47,3.95,8.54,3.33,2.64,4.44,5.14,4.06,7.43,3.24,58.04,5.07,27,16,61,NOT_31EARLY,-0.005706298,5,1,798.0367,1093.3226,1312.2618,1522.7031,1609.3108,1703.8211,NA,NA,NA,5
NOT_32EARLY,coarNOTs_7532-21,377,343,501,F,3,NOT_summer,summer_run,summer_run,NOT_summer,31.64,1.84,2.94,1.26,1.28,3.68,10.23,3.57,7.84,3.14,2.52,4.44,4.6,3.78,6.89,2.79,57.95,4.48,26,16,65,NOT_32EARLY,-0.005685838,5,1,809.4215,1283.6787,1480.5314,1567.8209,1645.779,1747.2903,NA,NA,NA,5
NOT_33EARLY,coarNOTs_7533-21,384,353,554,F,4,NOT_summer,summer_run,summer_run,NOT_summer,32.62,2.21,3.26,1.57,1.18,4.17,9.78,4.33,7.6,4.05,2.69,4.64,3.85,3.69,7.27,2.89,63.34,4.65,26,15,58,NOT_33EARLY,0.006375742,5,1,718.0452,1098.6767,1371.4856,1490.5076,1609.1064,1700.6693,NA,NA,NA,5
NOT_34EARLY,coarNOTs_7534-21,412,375,750,F,3,NOT_summer,summer_run,summer_run,NOT_summer,34.4,1.95,2.98,1.57,1.27,4.13,11.1,3.99,9.47,3.45,2.68,4.42,5.1,3.52,8.33,2.97,75.08,5.03,24,14,59,NOT_34EARLY,-0.014362001,6,3,711.7371,961.8627,1091.5265,1258.9569,1391.7505,1478.8359,1600.9106,NA,NA,6
NOT_35EARLY,coarNOTs_7535-21,403,369,654,R,3,NOT_summer,summer_run,summer_run,NOT_summer,34.1,2.24,3.29,1.67,1.39,4.12,11.09,4,8.11,3.65,2.5,4.45,4.79,4.08,7.39,3.17,44.96,4.9,27,15,60,NOT_35EARLY,-0.01660669,6,1,648.8309,1020.5197,1216.7344,1429.9714,1552.1819,1660.2017,1768.1735,NA,NA,6
NOT_36EARLY,coarNOTs_7536-21,411,376,661,F,3,NOT_summer,summer_run,summer_run,NOT_summer,33.99,2.06,3.17,1.34,1.29,3.98,11.65,3.68,8.5,3.5,2.79,4.7,4.93,4.19,7.5,3.25,63.55,4.42,26,15,62,NOT_36EARLY,-0.015957601,5,1,869.7424,1182.9104,1454.6297,1594.2103,1689.6979,1807.1035,NA,NA,NA,5
NOT_37EARLY,coarNOTs_7537-21,371,338,476,M,3,NOT_summer,summer_run,summer_run,NOT_summer,30.99,2.1,3.39,1.44,1.32,4.18,9.37,3.63,7.86,3.33,2.46,4.08,4.7,3.01,7.23,3.25,70.01,4.51,27,16,65,NOT_37EARLY,-0.003534961,5,1,888.0124,1193.2883,1502.9742,1628.7205,1748.2904,1812.4761,NA,NA,NA,5
NOT_38EARLY,coarNOTs_7538-21,368,338,447,M,3,NOT_summer,summer_run,summer_run,NOT_summer,30.73,1.98,3.05,1.46,1.2,4.03,9.32,3.56,7.7,3.18,2.32,4.23,4.38,3.26,6.79,2.96,69.49,4.62,25,15,61,NOT_38EARLY,-0.005779048,5,1,695.9282,1082.373,1337.6293,1471.9528,1580.0111,1671.3062,NA,NA,NA,5
NOT_39EARLY,coarNOTs_7539-21,413,374,723,F,3,NOT_summer,summer_run,summer_run,NOT_summer,34.25,2.19,3.38,1.64,1.2,4.47,10.72,4.39,8.85,3.81,2.88,4.13,4.66,4.19,8.16,3.35,62.9,4.95,27,16,62,NOT_39EARLY,-0.003881928,5,2,699.3832,1081.5124,1294.1649,1378.146,1473.78,1566.3723,NA,NA,NA,5
NOT_40EARLY,coarNOTs_7540-21,391,359,581,M,3,NOT_summer,summer_run,summer_run,NOT_summer,34.02,1.7,2.82,1.4,1.15,4.77,10.17,4.05,8.4,3.83,2.55,4.72,4.29,3.69,7.71,3.04,62.88,4.35,27,16,51,NOT_40EARLY,-0.002499919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
NOT_41EARLY,coarNOTs_7541-21,355,326,437,M,3,NOT_summer,summer_run,summer_run,NOT_summer,30.23,1.84,2.85,1.28,1.24,3.39,9.36,3.81,7.51,3.25,2.33,4.67,3.98,3.73,6.82,2.9,56.24,4.33,24,13,59,NOT_41EARLY,0.013497198,4,2,863.6066,1215.2938,1368.0706,1528.1732,1630.7966,NA,NA,NA,NA,4
NOT_42EARLY,coarNOTs_7542-21,394,368,591,M,3,NOT_summer,summer_run,summer_run,NOT_summer,33.59,2.09,3.37,1.6,1.3,4,10.77,4.04,8.54,3.56,2.4,4.59,4.72,3.86,7.48,3.22,69.39,4.67,26,15,58,NOT_42EARLY,-0.004347808,5,1,380.9303,938.8503,1109.3864,1228.546,1355.2975,1468.2276,NA,NA,NA,5
NOT_43EARLY,coarNOTs_7543-21,347,318,394,F,3,NOT_summer,summer_run,summer_run,NOT_summer,29.49,1.97,3.02,1.45,1.31,3.51,9.6,3.05,7.27,3.03,2.31,3.97,3.58,3.57,6.75,2.87,67.77,4.74,26,15,52,NOT_43EARLY,-0.000425,5,1,750.5328,1157.8452,1330.9169,1437.8464,1554.579,1602.4554,NA,NA,NA,5
NOT_44EARLY,coarNOTs_7544-21,355,324,410,M,3,NOT_summer,summer_run,summer_run,NOT_summer,29.2,1.76,2.89,1.28,1.28,3.53,8.99,3.65,7.38,3.31,2.42,4.02,4.43,4.25,6.78,2.71,63.64,4.23,26,16,55,NOT_44EARLY,0.003966983,5,1,776.2976,1076.2286,1270.8894,1400.1715,1492.0085,1596.4977,NA,NA,NA,5
NOT_45EARLY,coarNOTs_7545-21,374,339,499,M,3,NOT_summer,summer_run,summer_run,NOT_summer,31.19,1.83,2.94,1.34,1.29,3.67,10.06,3.87,7.84,3.41,2.21,4.01,4.44,4.26,7.31,2.87,60.92,4.35,23,15,56,NOT_45EARLY,-0.002883174,5,1,707.3284,1014.7667,1278.7284,1410.298,1537.857,1650.3453,NA,NA,NA,5
NOT_46EARLY,coarNOTs_7546-21,392,367,602,M,3,NOT_summer,summer_run,summer_run,NOT_summer,34.4,2.08,3.09,1.44,1.22,4.17,10.94,4.07,8.6,3.34,2.66,4.85,4.36,3.65,7.42,2.98,65.94,4.71,NA,NA,NA,NOT_46EARLY,-0.008105559,5,1,666.1579,988.4234,1233.9833,1361.5423,1465.021,1577.0476,NA,NA,NA,5
NOT_47EARLY,coarNOTs_7547-21,380,345,531,M,3,NOT_summer,summer_run,summer_run,NOT_summer,31.78,1.91,3.11,1.26,1.27,3.78,10.29,3.84,8.21,3.28,2.6,4.47,4.21,3.98,7.52,2.98,72.26,4.9,26,16,56,NOT_47EARLY,0.000697,5,1,677.5953,981.522,1244.7913,1371.6082,1475.557,1596.6763,NA,NA,NA,5
NOT_48EARLY,coarNOTs_7548-21,365,337,499,M,3,NOT_summer,summer_run,summer_run,NOT_summer,31.58,1.85,3.04,1.16,1.44,3.56,10.62,3.12,7.95,3.23,2.45,4.6,4.9,4.11,7.06,3.05,52.2,4.45,26,16,64,NOT_48EARLY,-0.007754467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
NOT_49EARLY,coarNOTs_7549-21,373,338,525,M,3,NOT_summer,summer_run,summer_run,NOT_summer,30.07,1.57,2.49,0.98,0.99,3.16,10.27,3.45,7.88,3.25,2.57,3.92,4.61,4.19,6.8,2.73,76.52,4,26,14,54,NOT_49EARLY,-0.004908884,5,1,636.7502,1003.7126,1224.6184,1339.2983,1432.7492,1514.4898,NA,NA,NA,5
NOT_50EARLY,coarNOTs_7550-21,395,359,612,F,3,NOT_summer,summer_run,summer_run,NOT_summer,32.98,1.9,3.06,1.55,1.18,4.1,10.45,4.26,8.4,3.46,2.7,4.75,4.31,4.02,7.71,3.04,74.13,4.69,27,15,60,NOT_50EARLY,0.007280136,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
NOT_51EARLY,coarNOTs_7551-21,409,364,656,M,3,NOT_summer,summer_run,summer_run,NOT_summer,33.38,2.06,3.12,1.53,1.25,4.03,10.42,4.49,8.31,3.7,2.71,4.26,5.06,3.93,7.75,3.25,63.2,4.74,26,16,58,NOT_51EARLY,-0.006430645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
NOT_52EARLY,coarNOTs_7552-21,400,366,668,M,3,NOT_summer,summer_run,summer_run,NOT_summer,33.4,2.08,3.2,1.46,1.35,3.98,10.56,4.49,8.19,3.55,2.74,4.57,4.77,3.9,7.85,3.28,59.57,4.7,25,16,56,NOT_52EARLY,-0.003386181,5,2,888.5348,1241.5761,1440.5881,1564.2246,1689.6022,1828.2347,NA,NA,NA,5
