sample_id,pop
coarBEAs_1960-21,BEA
coarBEAs_1961-21,BEA
coarBEAs_1962-21,BEA
coarBEAs_1963-21,BEA
coarBEAs_1964-21,BEA
coarBEAs_1965-21,BEA
coarBEAs_1966-21,BEA
coarBEAs_1967-21,BEA
coarBEAs_1968-21,BEA
coarBEAs_1969-21,BEA
coarBEAs_1970-21,BEA
coarBEAs_1971-21,BEA
coarBEAs_1972-21,BEA
coarBEAs_1973-21,BEA
coarBEAs_1974-21,BEA
coarBEAs_1975-21,BEA
coarBEAs_2026-21,BEA
coarBEAs_2027-21,BEA
coarBEAs_2028-21,BEA
coarBEAs_2029-21,BEA
coarBEAs_2030-21,BEA
coarBEAs_2031-21,BEA
coarBEAs_2032-21,BEA
coarBEAs_2033-21,BEA
coarBEAs_2034-21,BEA
coarBEAs_2035-21,BEA
coarBEAs_2036-21,BEA
coarBEAs_2037-21,BEA
coarBEAs_2038-21,BEA
coarBEAs_2039-21,BEA
coarBEAs_2040-21,BEA
coarBEAs_2041-21,BEA
coarBEAs_2042-21,BEA
coarBEAs_2043-21,BEA
coarBEAs_2044-21,BEA
coarBEAs_2045-21,BEA
coarBEAs_2046-21,BEA
coarBEAs_2047-21,BEA
coarBEAs_2048-21,BEA
coarBEAs_2049-21,BEA
coarBEAs_2050-21,BEA
coarEASs_578-21,EAS
coarEASs_580-22,EAS
coarEASs_581-23,EAS
coarEASs_582-24,EAS
coarEASs_583-25,EAS
coarEASs_584-26,EAS
coarEASs_585-27,EAS
coarEASs_586-28,EAS
coarEASs_587-29,EAS
coarEASs_588-30,EAS
coarEASs_589-31,EAS
coarEASs_620-21,EAS
coarEASs_621-21,EAS
coarEASs_622-21,EAS
coarEASs_623-21,EAS
coarEASs_662-21,EAS
coarEASs_665-21,EAS
coarEASs_666-21,EAS
coarEASs_667-21,EAS
coarEASs_668-21,EAS
coarEASs_669-21,EAS
coarEASs_675-21,EAS
coarEASs_626-21,EAS
coarEASs_627-21,EAS
coarEASs_751-21,EAS
coarEASs_752-21,EAS
coarEASs_753-21,EAS
coarEASs_754-21,EAS
coarEASs_755-21,EAS
coarEASs_756-21,EAS
coarEASs_757-21,EAS
coarEASs_758-21,EAS
coarEASs_759-21,EAS
coarEASs_760-21,EAS
coarEASs_761-21,EAS
coarEASs_762-21,EAS
coarEASs_763-21,EAS
coarEASs_764-21,EAS
coarEASs_765-21,EAS
coarEASs_766-21,EAS
coarEASs_767-21,EAS
coarEASs_768-21,EAS
coarEASs_769-21,EAS
coarEASs_770-21,EAS
coarEASs_771-21,EAS
coarEASs_597-21,EAS
coarEASs_598-21,EAS
coarNOTs_7501-21,NOT_summer
coarNOTs_7502-21,NOT_summer
coarNOTs_7503-21,NOT_summer
coarNOTs_7504-21,NOT_summer
coarNOTs_7505-21,NOT_summer
coarNOTs_7506-21,NOT_summer
coarNOTs_7507-21,NOT_summer
coarNOTs_7508-21,NOT_summer
coarNOTs_7509-21,NOT_summer
coarNOTs_7510-21,NOT_summer
coarNOTs_7511-21,NOT_summer
coarNOTs_7512-21,NOT_summer
coarNOTs_7513-21,NOT_summer
coarNOTs_7514-21,NOT_summer
coarNOTs_7515-21,NOT_summer
coarNOTs_7516-21,NOT_summer
coarNOTs_7517-21,NOT_summer
coarNOTs_7518-21,NOT_summer
coarNOTs_7519-21,NOT_summer
coarNOTs_7520-21,NOT_summer
coarNOTs_7521-21,NOT_summer
coarNOTs_7522-21,NOT_summer
coarNOTs_7523-21,NOT_summer
coarNOTs_7524-21,NOT_summer
coarNOTs_7525-21,NOT_summer
coarNOTs_7526-21,NOT_summer
coarNOTs_7527-21,NOT_summer
coarNOTs_7528-21,NOT_summer
coarNOTs_7529-21,NOT_summer
coarNOTs_7530-21,NOT_summer
coarNOTs_7531-21,NOT_summer
coarNOTs_7532-21,NOT_summer
coarNOTs_7533-21,NOT_summer
coarNOTs_7534-21,NOT_summer
coarNOTs_7535-21,NOT_summer
coarNOTs_7536-21,NOT_summer
coarNOTs_7536-21,NOT_summer
coarNOTs_7536-21,NOT_summer
coarNOTs_7536-21,NOT_summer
coarNOTs_7537-21,NOT_summer
coarNOTs_7537-21,NOT_summer
coarNOTs_7537-21,NOT_summer
coarNOTs_7537-21,NOT_summer
coarNOTs_7538-21,NOT_summer
