"sample_id" "FISHES_id" "long_tot" "long_fourche" "mass" "sex" "egg_dvpment" "pop" "ecotype" "true_eco" "genotype" "STL" "MXL" "MDL" "POL" "OOL" "PSL" "TTL" "DOL" "LUL" "ANL" "CPL" "CPD" "PCL" "PVL" "BDD" "HDD" "AMO" "HEA" "lower_gill_raker" "upper_gill_raker" "middle_gill_raker_length" "data.sample_id" "pc1_geomorph" "true_age" "confiance" "X1_um" "X2_um" "X3_um" "X4_um" "X5_um" "X6_um" "X7_um" "X8_um" "X9_um" "infered_age" "MXL_res" "MDL_res" "POL_res" "OOL_res" "PSL_res" "TTL_res" "DOL_res" "LUL_res" "ANL_res" "CPL_res" "CPD_res" "PCL_res" "PVL_res" "BDD_res" "HDD_res" "AMO_res" "HEA_res" "gill_raker_count"
"31" "NOT_31EARLY" "coarNOTs_7531-21" 397 364 566 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 33.74 2.44 3.38 1.72 1.43 4.34 10.47 3.95 8.54 3.33 2.64 4.44 5.14 4.06 7.43 3.24 58.04 5.07 27 16 61 "NOT_31EARLY" -0.005706298 5 1 798.0367 1093.3226 1312.2618 1522.7031 1609.3108 1703.8211 NA NA NA 5 2.37981944040189 1.02375651484878 1.63082642354644 1.45821331779451 1.44917818947411 -0.108800136610861 0.0218131046058833 0.617343482506572 -0.585556483422258 0.263665371410508 -0.246962753642392 1.69380142349767 0.0693739073827078 -0.567370181207429 0.669464815042915 -0.522977376824912 1.13543734484513 43
"32" "NOT_32EARLY" "coarNOTs_7532-21" 377 343 501 "F" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 31.64 1.84 2.94 1.26 1.28 3.68 10.23 3.57 7.84 3.14 2.52 4.44 4.6 3.78 6.89 2.79 57.95 4.48 26 16 65 "NOT_32EARLY" -0.005685838 5 1 809.4215 1283.6787 1480.5314 1567.8209 1645.779 1747.2903 NA NA NA 5 -0.944979004416538 -0.453796655034374 -1.29392983755842 0.121461135840273 -0.465475396161397 0.925392037898638 -0.518813908074929 -0.126728072611289 -0.400136603056869 0.595982065679898 0.671873329927794 0.619719377376297 -0.289370913698611 -0.916438393888554 -1.30796962614444 -0.462794041068638 -0.428989870630585 42
"33" "NOT_33EARLY" "coarNOTs_7533-21" 384 353 554 "F" 4 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 32.62 2.21 3.26 1.57 1.18 4.17 9.78 4.33 7.6 4.05 2.69 4.64 3.85 3.69 7.27 2.89 63.34 4.65 26 15 58 "NOT_33EARLY" 0.006375742 5 1 718.0452 1098.6767 1371.4856 1490.5076 1609.1064 1700.6693 NA NA NA 5 1.16101445430535 0.75661916789078 0.74812776868112 -1.12128331885847 1.25987543619858 -0.839229327102091 1.88280545641326 -1.58640871823251 2.69054106243417 1.31060822655469 0.970491672901742 -2.2790494727853 -0.784312045130868 -0.452146060405386 -1.08101055845462 0.279856358618907 -0.162667510147535 41
"34" "NOT_34EARLY" "coarNOTs_7534-21" 412 375 750 "F" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 34.4 1.95 2.98 1.57 1.27 4.13 11.1 3.99 9.47 3.45 2.68 4.42 5.1 3.52 8.33 2.97 75.08 5.03 24 14 59 "NOT_34EARLY" -0.014362001 6 3 711.7371 961.8627 1091.5265 1258.9569 1391.7505 1478.8359 1600.9106 NA NA 6 -0.904408115209263 -1.10960295073905 0.359416245294023 -0.461705186572271 -0.130865247270236 0.488976029421257 -0.285100336777657 2.79998085396481 -0.604055208208179 -0.0887297342469023 -0.805205501198978 1.16352340647198 -1.79729481149563 1.12036887334578 -1.45877412177744 1.90667648623777 0.452254278164488 38
"35" "NOT_36EARLY" "coarNOTs_7536-21" 411 376 661 "F" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 33.99 2.06 3.17 1.34 1.29 3.98 11.65 3.68 8.5 3.5 2.79 4.7 4.93 4.19 7.5 3.25 63.55 4.42 26 15 62 "NOT_36EARLY" -0.015957601 5 1 869.7424 1182.9104 1454.6297 1594.2103 1689.6979 1807.1035 NA NA NA 5 -0.235484657307592 -0.258040689454126 -1.31427807114261 -0.256465623674352 -0.885292625368297 1.66037627715192 -1.48036896411934 -0.352652706487963 -0.453395870394042 0.705718025397722 0.185372534725492 0.549326816392173 0.185862587080858 -0.949063793083991 0.257113112981315 0.232869744580894 -2.23143919290287 41
"36" "NOT_37EARLY" "coarNOTs_7537-21" 371 338 476 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 30.99 2.1 3.39 1.44 1.32 4.18 9.37 3.63 7.86 3.33 2.46 4.08 4.7 3.01 7.23 3.25 70.01 4.51 27 16 65 "NOT_37EARLY" -0.003534961 5 1 888.0124 1193.2883 1502.9742 1628.7205 1748.2904 1812.4761 NA NA NA 5 0.773931533350991 1.74273771566124 0.0827649542732221 0.632515965325063 2.12425991375898 -0.63703535459224 -0.0908474227062255 0.286162971168965 0.554707538959555 0.432381752099724 -0.431747513178431 1.13759662579092 -2.46726602227666 0.135598448613052 1.75636899477882 1.29086512980341 -0.0680716207477138 43
"37" "NOT_38EARLY" "coarNOTs_7538-21" 368 338 447 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 30.73 1.98 3.05 1.46 1.2 4.03 9.32 3.56 7.7 3.18 2.32 4.23 4.38 3.26 6.79 2.96 69.49 4.62 25 15 61 "NOT_38EARLY" -0.005779048 5 1 695.9282 1082.373 1337.6293 1471.9528 1580.0111 1671.3062 NA NA NA 5 0.0268362150909983 0.181579268894914 0.225834757243583 -0.680052269714112 1.42939267720357 -0.749642245975102 -0.349692613308753 -0.219103036009442 -0.0261934922186802 -0.648593343118734 0.119033544748626 0.0561194798598681 -1.7234254850146 -0.930380368781867 -0.0506852338470514 1.21599258980309 0.404416780819312 40
"38" "NOT_39EARLY" "coarNOTs_7539-21" 413 374 723 "F" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 34.25 2.19 3.38 1.64 1.2 4.47 10.72 4.39 8.85 3.81 2.88 4.13 4.66 4.19 8.16 3.35 62.9 4.95 27 16 62 "NOT_39EARLY" -0.003881928 5 2 699.3832 1081.5124 1294.1649 1378.146 1473.78 1566.3723 NA NA NA 5 0.618971178479536 0.764418674195146 0.880851711456347 -1.21697881888819 1.50852731822599 -0.296645135677827 1.24428247379984 0.900063102480384 0.842569694645955 1.52503016148919 -1.83217993134701 -0.296392901607269 0.231238571415459 0.751635103887496 0.963249742168737 0.145444527896586 0.153121456716644 43
"39" "NOT_40EARLY" "coarNOTs_7540-21" 391 359 581 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 34.02 1.7 2.82 1.4 1.15 4.77 10.17 4.05 8.4 3.83 2.55 4.72 4.29 3.69 7.71 3.04 62.88 4.35 27 16 51 "NOT_40EARLY" -0.002499919 NA NA NA NA NA NA NA NA NA NA NA 5 -2.14117879882152 -1.42463158879819 -0.576884466796695 -1.53987736614194 3.71879726375496 -0.410341613234047 0.598936413242577 0.524082887183469 1.57570705993136 -0.132609858428983 1.00307044577536 -1.00721224124418 -0.921058215135363 0.341817795193917 -0.382606460641072 0.193255109773973 -1.73368408918833 43
"40" "NOT_41EARLY" "coarNOTs_7541-21" 355 326 437 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 30.23 1.84 2.85 1.28 1.24 3.39 9.36 3.81 7.51 3.25 2.33 4.67 3.98 3.73 6.82 2.9 56.24 4.33 24 13 59 "NOT_41EARLY" 0.013497198 4 2 863.6066 1215.2938 1368.0706 1528.1732 1630.7966 NA NA NA NA 4 -0.60494246327859 -0.424314194871758 -0.848927008400873 -0.065922974069294 -0.879088667686057 0.239784145974528 1.06859219994636 0.0201323844628415 0.769980208617226 0.148326117262428 2.25836032944809 -0.863103136788004 -0.0537267754620005 -0.310441690056627 0.0493978747279097 -0.650766645206757 -0.284590974290522 37
"41" "NOT_42EARLY" "coarNOTs_7542-21" 394 368 591 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 33.59 2.09 3.37 1.6 1.3 4 10.77 4.04 8.54 3.56 2.4 4.59 4.72 3.86 7.48 3.22 69.39 4.67 26 15 58 "NOT_42EARLY" -0.004347808 5 1 380.9303 938.8503 1109.3864 1228.546 1355.2975 1468.2276 NA NA NA 5 0.113063262449455 0.873987345060514 0.698891663680578 -0.0278322612441646 -0.351146616868705 0.268596545153669 0.190650277722551 0.336909876712 0.132684545749113 -1.8383481776525 0.130453222550493 0.124854698543195 -0.619080323472188 -0.629397307059874 0.386198179722064 1.10432633788263 -0.775606455217721 41
"42" "NOT_43EARLY" "coarNOTs_7543-21" 347 318 394 "F" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 29.49 1.97 3.02 1.45 1.31 3.51 9.6 3.05 7.27 3.03 2.31 3.97 3.58 3.57 6.75 2.87 67.77 4.74 26 15 52 "NOT_43EARLY" -0.000425 5 1 750.5328 1157.8452 1330.9169 1437.8464 1554.579 1602.4554 NA NA NA 5 0.363958572469041 0.564295635456134 0.508599496379598 0.817390742238736 0.113861466612431 1.37989153851232 -1.41184917968953 -0.178251717340421 0.268434607879112 0.473751839206004 0.0383622334841651 -1.92685708409625 -0.348937302135844 -0.115345061413256 0.178446141421345 1.03634584450285 1.84732623001931 41
"43" "NOT_44EARLY" "coarNOTs_7544-21" 355 324 410 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 29.2 1.76 2.89 1.28 1.28 3.53 8.99 3.65 7.38 3.31 2.42 4.02 4.43 4.25 6.78 2.71 63.64 4.23 26 16 55 "NOT_44EARLY" 0.003966983 5 1 776.2976 1076.2286 1270.8894 1400.1715 1492.0085 1596.4977 NA NA NA 5 -1.06295116659733 -0.188677333684806 -0.813527224224725 0.400895319435045 -0.121452074544956 -0.443402008718641 0.559483425826513 -0.25044406131337 1.08982502258217 0.962968527018405 -0.0402355371387173 0.729303341284531 1.53821469814061 -0.316162304119751 -1.05522136994125 0.421210164334548 -0.621278344452261 42
"44" "NOT_45EARLY" "coarNOTs_7545-21" 374 339 499 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 31.19 1.83 2.94 1.34 1.29 3.67 10.06 3.87 7.84 3.41 2.21 4.01 4.44 4.26 7.31 2.87 60.92 4.35 23 15 56 "NOT_45EARLY" -0.002883174 5 1 707.3284 1014.7667 1278.7284 1410.298 1537.857 1650.3453 NA NA NA 5 -0.927061802780816 -0.34954867421323 -0.650341872843308 0.289676742894739 -0.292974696168942 0.8420416702497 0.755488507884538 0.153077310461797 0.820795997460886 -1.55800893585518 -0.732525933353461 0.222881130353313 1.22940929981261 0.283833993939989 -0.651034009497878 -0.0213696873239234 -0.801757711587217 38
"45" "NOT_46EARLY" "coarNOTs_7546-21" 392 367 602 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 34.4 2.08 3.09 1.44 1.22 4.17 10.94 4.07 8.6 3.34 2.66 4.85 4.36 3.65 7.42 2.98 65.94 4.71 NA NA NA "NOT_46EARLY" -0.008105559 5 1 666.1579 988.4234 1233.9833 1361.5423 1465.021 1577.0476 NA NA NA 5 0.0705727758548177 -0.391111856906599 -0.432819334722995 -0.891750330826608 0.494636753338607 0.728262111215396 0.343356568156902 0.597327817360131 -0.678933634570305 0.238218742712134 1.13298251126309 -1.06073921054796 -1.22367449416555 -0.729432906676132 -1.0759696293609 0.608663674435125 -0.556322394530424 NA
"46" "NOT_47EARLY" "coarNOTs_7547-21" 380 345 531 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 31.78 1.91 3.11 1.26 1.27 3.78 10.29 3.84 8.21 3.28 2.6 4.47 4.21 3.98 7.52 2.98 72.26 4.9 26 16 56 "NOT_47EARLY" 0.000697 5 1 677.5953 981.522 1244.7913 1371.6082 1475.557 1596.6763 NA NA NA 5 -0.549069992413625 0.275056532991909 -1.32962833640575 -0.0174056827888849 -0.111454418719797 0.910784662576738 0.397644351929306 0.902380599608249 0.0546631899785944 1.09411644702534 0.694767835984077 -0.771055128091324 0.260746063116629 0.519290488615206 -0.202658475343109 1.59190172749004 1.28318014607557 42
"47" "NOT_48EARLY" "coarNOTs_7548-21" 365 337 499 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 31.58 1.85 3.04 1.16 1.44 3.56 10.62 3.12 7.95 3.23 2.45 4.6 4.9 4.11 7.06 3.05 52.2 4.45 26 16 64 "NOT_48EARLY" -0.007754467 NA NA NA NA NA NA NA NA NA NA NA 5 -0.762502941583857 0.161678696391927 -1.90238613684938 1.95968691261454 -0.693150635730627 2.25295862014905 -1.93542705889289 0.64027534701965 0.211205378692433 0.415124813940632 1.52124019663681 1.84944282380101 0.828189817508693 -0.230646989812639 0.549590729473752 -1.27004240479674 -0.279396973438243 42
"48" "NOT_49EARLY" "coarNOTs_7549-21" 373 338 525 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 30.07 1.57 2.49 0.98 0.99 3.16 10.27 3.45 7.88 3.25 2.57 3.92 4.61 4.19 6.8 2.73 76.52 4 26 14 54 "NOT_49EARLY" -0.004908884 5 1 636.7502 1003.7126 1224.6184 1339.2983 1432.7492 1514.4898 NA NA NA 5 -2.52573945563064 -2.38974052577902 -3.20784051404508 -2.97704668103267 -2.60083729481785 1.38988869029932 -0.75644934139844 0.349321222066264 0.244893655664496 1.28171932691423 -1.01924730830062 0.833431178497814 1.04366131360027 -0.906153577477438 -1.48386617379171 2.22821173634582 -2.25869966437664 40
"49" "NOT_50EARLY" "coarNOTs_7550-21" 395 359 612 "F" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 32.98 1.9 3.06 1.55 1.18 4.1 10.45 4.26 8.4 3.46 2.7 4.75 4.31 4.02 7.71 3.04 74.13 4.69 27 15 60 "NOT_50EARLY" 0.007280136 5 2 NA NA NA NA NA NA NA NA NA 5 -0.892861274630004 -0.319841904045319 0.498861051070003 -1.21090289204552 0.607183518043053 0.221856651349882 1.37744186395521 0.524082887183469 0.139182963756034 1.02851577941058 1.11350609645583 -0.93944845460201 0.063302054427638 0.341817795193917 -0.382606460641072 1.81720284591694 -0.269560671996353 42
"50" "NOT_51EARLY" "coarNOTs_7551-21" 409 364 656 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 33.38 2.06 3.12 1.53 1.25 4.03 10.42 4.49 8.31 3.7 2.71 4.26 5.06 3.93 7.75 3.25 63.2 4.74 26 16 58 "NOT_51EARLY" -0.006430645 NA NA NA NA NA NA NA NA NA NA NA 6 0.00569389589413645 -0.174270826220866 0.266881292673249 -0.517566133492362 0.0080666853430424 -0.221803217709559 2.0256443090841 -0.111531845604859 0.852374123148037 0.806054539828802 -0.910225427450948 1.42248088501367 -0.318784056954337 0.210614762034448 0.731996265594243 0.222602606472972 -0.287014989238124 42
"51" "NOT_52EARLY" "coarNOTs_7552-21" 400 366 668 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 33.4 2.08 3.2 1.46 1.35 3.98 10.56 4.49 8.19 3.55 2.74 4.57 4.77 3.9 7.85 3.28 59.57 4.7 25 16 56 "NOT_52EARLY" -0.003386181 5 2 888.5348 1241.5761 1440.5881 1564.2246 1689.6022 1828.2347 NA NA NA 5 0.0906060563491499 0.142180972601387 -0.271300064985076 0.550792625904504 -0.334234721143246 -0.0558488233267618 1.94383241715679 -0.632454263502744 0.181645039418504 0.918523022302779 0.14441334902604 0.366790092099289 -0.453924481341701 0.362377333325652 0.840680682278291 -0.308869420910403 -0.55275772522282 41
"52" "NOT_53EARLY" "coarNOTs_7553-21" 420 381 717 "F" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 35.35 2.3 3.29 1.63 1.37 4.43 11.48 4.41 9.21 3.51 3.04 4.49 4.92 4.19 8.5 3.25 64.28 5.03 29 13 66 "NOT_53EARLY" -0.012228081 6 1 864.1698 1113.1024 1322.184 1477.1045 1537.5614 1636.7725 1707.5803 NA NA 6 1.16961754475722 0.165802532918234 0.685530885106106 0.551009568475185 0.939094991582634 0.899176405825047 1.03079007853745 1.55433820492051 -0.63566263611385 2.35017046339671 -0.81183709599354 0.334491801067529 0.0722113283545217 1.2617160046439 0.0584316408622042 0.322006571162888 0.172554964321337 42
"53" "NOT_54EARLY" "coarNOTs_7554-21" 391 354 540 "F" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 32.13 2.12 3.2 1.53 1.39 4.15 9.83 3.88 8.4 3.19 2.55 4.13 4.75 3.74 7.49 3.03 62.64 4.58 26 16 62 "NOT_54EARLY" -0.006529861 5 1 773.626 1082.9311 1302.1544 1430.4108 1507.2324 1631.3044 NA NA NA 5 0.57990883790344 0.454695458198195 0.443866250392506 1.16471127199237 1.112496544782 -0.801635071883643 0.174999547820158 0.873926658189699 -0.689074758281567 0.167908180865377 -0.94898044200497 0.731349041824796 -0.658051573245331 0.0360083374456388 -0.24688160291655 0.175527053462064 -0.510336252624895 42
"54" "NOT_55EARLY" "coarNOTs_7555-21" 401 369 540 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 33.64 2 3.16 1.38 1.61 4.11 10.15 4.15 8.39 3.6 2.66 4.23 4.79 4.23 6.8 3.11 58.23 4.85 25 15 65 "NOT_55EARLY" -0.006510529 6 1 807.7723 1077.9143 1224.4396 1418.6632 1516.0123 1604.8574 1708.0121 NA NA 6 -0.469898595488768 -0.120678171902255 -0.899823856823288 3.36393727785743 0.105786269435849 -1.20945443682407 0.557970049386354 -0.209160854996117 0.244362014351947 0.117813686110117 -1.24143786832516 0.326359984306104 0.464063318864929 -2.33043310389046 -0.342011561206139 -0.513179866439038 -0.0456289643693903 40
"55" "NOT_56EARLY" "coarNOTs_7556-21" 375 345 511 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 31.96 1.87 2.94 1.44 1.35 3.52 10.15 3.55 8.22 3.26 2.54 4.63 4.62 3.95 6.96 2.97 66.44 4.61 27 17 61 "NOT_56EARLY" -0.018219351 NA NA NA NA NA NA NA NA NA NA NA 5 -0.798242008089783 -0.505962275712338 -0.0412749783206333 0.858132591494327 -1.31656924381073 0.595307805045298 -0.675318196552701 0.933977508927625 -0.0228338989787581 0.630580511613181 1.28259848322011 0.615367793542829 0.171434931145621 -0.83817385391875 -0.265005781417213 0.753433302081656 0.0368274136832445 44
"56" "NOT_57EARLY" "coarNOTs_7557-21" 392 364 512 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 30.58 1.73 2.94 1.29 1.18 3.77 10 3.89 7.55 3.32 2.38 3.87 4.26 4.09 7.14 2.81 65.93 4.6 25 16 56 "NOT_57EARLY" -0.00778882 5 1 810.0488 1184.5204 1456.8676 1558.669 1664.9074 1767.2068 NA NA NA 5 -2.05604670854681 -1.00367437003831 -1.4559967673771 -1.28592480899281 -1.20060747941205 -1.17102909893861 -0.200834807002807 -2.5199894515383 -0.624419472789023 -1.75092296842887 -2.34729455403615 -1.29072449982636 0.158948822229719 -1.27241903602038 -2.01938755866428 0.617066434845689 -0.890479615818902 41
"57" "NOT_58EARLY" "coarNOTs_7558-21" 374 341 459 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 30.54 2.01 3.11 1.6 1.17 3.92 9.83 3.42 7.43 3.47 2.27 4.2 4.61 4.05 7.03 2.97 48.57 4.53 28 17 56 "NOT_58EARLY" -0.010727484 7 2 944.0274 1269.4954 1390.897 1483.5453 1567.5264 1622.5589 1672.9887 1719.1671 NA 7 0.153731182279222 0.379080787525276 1.17441637313788 -1.05255858958171 0.755977380921071 0.17413004575213 -0.991131338816948 -1.28181593671219 0.965749622495467 -1.21484562772372 -0.122250723639117 0.725493055936873 0.559410956079571 -0.48582812628012 -0.106888111031757 -1.80677276125689 -0.12132828839125 45
"58" "NOT_59EARLY" "coarNOTs_7559-21" 397 361 563 "F" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 32.96 1.91 3.03 1.63 1.33 3.73 10.42 4.23 8.17 3.13 2.61 4.35 4.65 4.06 7.66 3.09 57.87 4.82 26 14 57 "NOT_59EARLY" -0.010480899 6 1 785.0514 1135.5363 1309.957 1483.5135 1555.6561 1624.8488 1685.3572 NA NA 6 -0.870812785862434 -0.510313786781954 1.03745669771196 0.404615138476114 -1.22123929533844 0.00383960508671738 1.18409846002863 -0.344437299751086 -1.23027806519949 0.211656317893259 -0.446759858717866 0.140346774623616 0.137344847088942 0.128999972064847 -0.149506645851451 -0.536968748846325 0.197330673592921 40
"59" "NOT_60EARLY" "coarNOTs_7560-21" 381 350 597 "F" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 33.08 2.37 3.31 1.97 1.44 3.9 10.13 3.57 9.11 3.12 2.58 4.37 4.49 4 7.92 3.02 45.58 5.5 26 15 45 "NOT_60EARLY" 0.002527624 4 2 758.1391 1293.6739 1443.3372 1586.7207 1663.9659 NA NA NA NA 4 2.21777376670764 1.06431400811809 3.66568064819359 1.77051048784135 0.171359487463128 0.175372576600751 -0.807805822834468 3.39817048542856 -0.784773965071047 0.639905574291353 0.108808481405821 -0.0044808094710035 0.207316476906747 1.26151985619677 -0.150955401828203 -2.27013081512495 3.63189739630369 41
"60" "NOT_61EARLY" "coarNOTs_7561-21" 372 342 465 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 31.65 1.79 3.06 1.34 1.2 3.73 10.6 3.39 7.99 3.27 2.49 4.04 4.48 4.3 7.33 3.12 62.77 4.79 25 15 55 "NOT_61EARLY" -0.013756012 4 1 732.3403 1065.6427 1308.245 1476.8791 1642.4156 NA NA NA NA 4 -1.23630081870204 0.123430531281446 -0.7036529222885 -0.739126591652147 -0.179063132985557 1.833815694262 -1.14336950914772 0.417063059567104 0.147280049990214 0.424223328046406 -0.753642681165853 0.250035273350496 1.28089863409573 0.195535581606282 0.788546136520992 0.234860989471414 0.949380847533213 40
"61" "NOT_62EARLY" "coarNOTs_7562-21" 402 371 644 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 33.79 2.23 3.34 1.46 1.43 4.13 10.62 4.19 8.17 3.52 2.69 4.55 5.21 4.39 7.9 3.11 68.22 4.61 26 15 60 "NOT_62EARLY" -0.008759483 5 2 1038.6171 1431.2738 1667.636 1793.9011 1909.523 2001.9603 NA NA NA 5 0.929018870018106 0.65768917424238 -0.360660004675479 1.35703294167066 0.0890664542168353 -0.296775273405731 0.624130364888295 -1.04816909080632 -0.154929370201836 0.230124256004352 -0.148858570636186 1.68082676794669 0.897353755025812 0.2554073134554 -0.42158091148099 0.925536701701047 -1.17507060447256 41
"62" "NOT_63EARLY" "coarNOTs_7563-21" 417 384 774 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 35.5 2.24 3.33 1.48 1.44 4.59 11.4 3.96 9.1 3.71 2.89 5.1 4.53 4.36 8.59 3.51 51.41 5.51 27 16 66 "NOT_63EARLY" -0.004598841 5 2 763.3738 1112.4263 1399.5436 1519.1136 1660.6735 1825.9006 NA NA NA 5 0.73340825728612 0.272495461891712 -0.450048434767094 1.27950435104682 1.52234344224915 0.491394928418048 -0.771742576682563 0.993669199166443 0.0126777487498694 1.00234225227773 1.31496808078879 -1.10406994050456 0.514190804906402 1.34490387924363 1.57353113573518 -1.55764224186651 2.11253057919415 43
"63" "NOT_64EARLY" "coarNOTs_7564-21" 345 315 366 "F" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 26.91 1.7 2.64 1.28 1.29 3.28 8.48 3.44 7.54 2.93 2.39 3.99 3.96 3.54 6.28 2.54 54 4.48 28 16 62 "NOT_64EARLY" 0.014155356 5 1 466.0498 842.3367 1010.5273 1046.1574 1139.7746 1234.8757 NA NA NA 5 -1.25722256973299 -1.1025484359237 -0.654388893779676 0.642907633173196 -0.787686586442038 -0.917667719041817 0.153756296136997 0.88429068869715 0.0125186429560022 1.2715750061619 0.242934297859715 -0.534707203477085 -0.370450590561198 -1.11735636804125 -1.75956419228776 -0.936168971253144 0.869901595001018 44
"64" "NOT_65EARLY" "coarNOTs_7565-21" 395 362 596 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 33.17 2.09 3.35 1.45 1.55 4.15 10.83 3.34 8.34 3.21 2.69 4.78 4.18 3.85 7.38 3.16 68.82 4.74 26 15 51 "NOT_65EARLY" -0.008533308 5 2 847.0238 1266.4971 1457.4232 1564.0612 1617.351 1671.8722 NA NA NA 5 0.233110491163544 0.937372653521387 -0.27174224254824 2.80378740634919 0.675359702446563 0.854902492299921 -2.15823933405721 0.123854505750012 -0.963655480437595 0.771151781288883 1.09312900610246 -1.48912363735618 -0.512071722739697 -0.597171756866416 0.248384871329242 1.04105493070223 -0.193850317435429 41
"65" "NOT_66EARLY" "coarNOTs_7566-21" 401 362 596 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 33.2 2.29 3.24 1.61 1.25 3.99 10.65 4.32 8.87 3.33 2.81 4.2 5.05 4.37 7.95 3.33 46.8 4.91 25 16 62 "NOT_66EARLY" -0.004340415 6 1 734.9972 1192.7529 1405.3334 1595.7549 1694.5043 1777.4014 1837.9317 NA NA 6 1.48213940360843 0.430722150326092 0.876373556055676 -0.487832086607174 -0.0681356969162154 0.448257716429179 1.47685648258901 1.80275012198959 -0.497490267741241 1.7005816511976 -1.04317698002239 1.46028092400524 1.03992537401226 0.7880473742069 1.31098493153335 -2.1393635219397 0.5386285767645 41
"66" "NOT_67EARLY" "coarNOTs_7567-21" 377 346 511 "F" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 31.62 1.76 2.88 1.4 1.14 3.93 9.88 3.8 7.91 3.23 2.63 4.4 4.6 4.03 7.26 3.08 67.08 4.64 26 15 55 "NOT_67EARLY" -0.005988938 5 1 839.5188 1253.531 1473.6114 1594.9486 1718.2857 1825.2482 NA NA NA 5 -1.50360189899773 -0.807739254924764 -0.345338059527602 -1.45502951224378 0.529160557761919 -0.088114507068637 0.208466782180742 -0.11551509567335 -0.18290043442108 1.26600200339468 0.393907102382806 0.511740584857837 0.387020076370564 -0.156599414124398 0.381334089788952 0.842317269167347 0.119367156393535 41
"67" "NOT_68EARLY" "coarNOTs_7568-21" 392 361 585 "F" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 32.97 2.05 3.18 1.47 1.38 4 10.58 3.73 8.55 3.63 2.68 4.21 4.74 4.64 7.5 3.15 56.19 5.17 23 16 55 "NOT_68EARLY" -0.012667421 5 1 789.0773 1093.2495 1326.5902 1462.3499 1574.7275 1695.8468 NA NA NA 5 0.00333634874030637 0.180438056720247 -0.110434415105578 0.953111025873541 0.0331636568969772 0.365230890114706 -0.670179310328567 0.859063609086304 0.711696869622412 0.753717640066281 -0.962319009872889 0.445397881255689 1.86807976152434 -0.259757373693175 0.225455275258782 -0.779568992143042 1.70508033202982 39
"68" "RUP_1" "coarRUPs_7601-21" 335 306 350 "F" 4 "RUP" "fall_run" "fall_run" "RUP" 27.4 1.94 2.68 1.43 1.24 3.41 8.31 3.05 7.27 2.72 2.19 3.63 3.75 3.49 6.59 2.61 55.56 4.33 26 15 53 "RUP_1" 0.00273761 5 3 NA NA NA NA NA NA NA NA NA 5 0.417264768414025 -0.685201888792205 0.578736580268356 0.228592451254026 0.306937785942387 -0.626478757382985 -0.918679576024093 0.661636678942971 -0.407151314455997 0.267251352640604 -0.686340818192455 -0.921009344005766 -0.316040745631359 0.0442232868243502 -0.968646791053488 -0.681478434460878 0.643547221896655 41
