"sample_id" "FISHES_id" "long_tot" "long_fourche" "mass" "sex" "egg_dvpment" "pop" "ecotype" "true_eco" "genotype" "STL" "MXL" "MDL" "POL" "OOL" "PSL" "TTL" "DOL" "LUL" "ANL" "CPL" "CPD" "PCL" "PVL" "BDD" "HDD" "AMO" "HEA" "lower_gill_raker" "upper_gill_raker" "middle_gill_raker_length" "data.sample_id" "pc1_geomorph" "true_age" "confiance" "X1_um" "X2_um" "X3_um" "X4_um" "X5_um" "X6_um" "X7_um" "X8_um" "X9_um" "infered_age" "MXL_res" "MDL_res" "POL_res" "OOL_res" "PSL_res" "TTL_res" "DOL_res" "LUL_res" "ANL_res" "CPL_res" "CPD_res" "PCL_res" "PVL_res" "BDD_res" "HDD_res" "AMO_res" "HEA_res" "gill_raker_count"
"11" "NOT_11EARLY" "coarNOTs_7511-21" 331 300 231 "F" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 27.58 1.72 2.72 1.39 1.25 3.22 8 3.54 6.91 2.73 1.89 3.65 4.09 3.7 6.1 2.55 49.52 4.32 27 15 47 "NOT_11EARLY" 0.006480232 5 1 573.8906 918.8604 1203.4066 1330.6448 1450.7146 1585.1246 NA NA NA 5 -0.834526988346416 -0.345337944224185 0.399053287135744 0.426819793072864 -0.245976012210988 -0.875913952183901 1.14332246402162 -0.0563473758721569 -0.105550254853887 -1.69260515787995 -0.350659115092934 0.445963593405214 0.445543336072649 -0.870944587265725 -1.10659746606756 -1.53285526461697 0.879841628783427 42
"12" "NOT_12EARLY" "coarNOTs_7512-21" 375 344 434 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 31.44 1.81 2.68 1.41 1.1 3.8 10.01 3.52 7.87 3.71 2.4 4.4 4.41 3.53 7.16 2.64 57.76 4.41 28 17 61 "NOT_12EARLY" 0.001261516 5 1 818.8157 1104.3656 1362.6032 1473.0297 1609.1489 1711.8811 NA NA NA 5 -1.15190612123363 -1.67425838951376 -0.238250633019222 -1.863018886817 0.035941471552664 0.354789868572331 -0.74503731985758 -0.101927889115207 1.76448036963472 -0.390951940146594 0.48127048053401 -0.0586958305706057 -1.05619995180655 -0.307712705310765 -2.28272415897376 -0.49361202783417 -0.77624479040882 45
"13" "NOT_13EARLY" "coarNOTs_7513-21" 402 368 526 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 33.9 2.11 3.2 1.54 1.3 4.17 10.43 4.14 8.67 3.31 2.78 4.75 4.73 3.82 7.72 3.05 69.39 4.72 23 13 65 "NOT_13EARLY" -0.005031247 6 2 776.0856 1031.753 1344.7826 1550.741 1633.2088 1726.0829 1811.4782 NA NA 6 0.238128237892637 0.0899659302463484 0.267789530872672 -0.0278322612441646 0.439842366616878 -0.500507011864881 0.562059768950761 0.749248853109522 -0.839753260024186 1.10866574020591 0.720543769129946 0.158799893367845 -0.73861963847321 -0.0453902735367802 -0.677780797155421 1.10432633788263 -0.559891920314508 36
"14" "NOT_14EARLY" "coarNOTs_7514-21" 408 370 506 "M" 2 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 34.22 1.94 3.04 1.35 1.3 4.6 10.89 3.6 8.66 3.56 2.46 4.96 5.04 4.55 7.43 2.96 67.24 4.79 27 16 67 "NOT_14EARLY" -0.011500519 6 2 787.7361 1131.2181 1408.647 1583.2377 1673.4159 1739.9971 1826.6338 NA NA 6 -0.865455205323222 -0.70055200414457 -1.13349979465158 -0.0574205288065513 2.33187914707698 0.389667792869957 -1.52700833180047 0.577316016164747 0.0447651947959933 -1.49423387632943 1.40792477827288 1.13927007968847 1.39823300766899 -0.843064913268116 -1.32104026547892 0.786931242098973 -0.351227896010165 43
"15" "NOT_15EARLY" "coarNOTs_7515-21" 392 357 434 "F" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 33.25 1.89 2.97 1.53 1.22 3.86 10.57 4.21 8.18 3.43 2.51 4.63 4.39 3.79 7.55 2.96 60.78 4.56 NA NA NA "NOT_15EARLY" -0.004661439 4 1 766.9467 1065.6976 1298.9741 1504.4385 1606.0647 NA NA NA NA 4 -0.914914388964253 -0.681716505735744 0.390814428403584 -0.742504118563469 -0.39767256894678 0.642856174520899 1.27420747754299 -0.0321799549236395 0.110446088708696 -0.321867213099042 0.759120716198007 -0.595942600538515 -0.577239741240212 0.0446149793754985 -0.80289134472281 -0.10302064334359 -0.736119965238947 NA
"16" "NOT_16EARLY" "coarNOTs_7516-21" 384 353 435 "M" 2 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 32.76 2.05 3.25 1.62 1.4 4.43 10.2 3.68 8.16 3.67 2.75 4.29 4.61 3.6 7.48 3.19 58.81 5.06 26 15 56 "NOT_16EARLY" -0.005922311 5 2 747.8532 1188.2867 1452.2673 1670.6234 1768.3164 1852.8863 NA NA NA 5 0.163341541267071 0.710631488402447 1.10635732689957 1.28882606890552 2.46618106288729 0.108136435247248 -0.52448695324139 0.184766614975597 1.21664141587582 1.77460219245574 -0.316658474992811 0.293444642384233 -1.0525101921774 0.0574060711636307 0.791256827860232 -0.373410843591087 1.60115854387301 41
"17" "NOT_17EARLY" "coarNOTs_7517-21" 375 352 524 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 32.01 2.02 3.25 1.36 1.35 3.74 10.25 3.94 8.14 3.52 2.56 4.15 4.09 3.63 7.35 3.16 52.59 4.87 25 15 61 "NOT_17EARLY" -0.00125871 5 2 741.9536 1144.7495 1438.6575 1574.1063 1723.1301 1870.0242 NA NA NA 5 -0.00372038108393738 0.736591252333676 -0.738586144949067 0.755703735769362 -0.680318479750438 0.295943229868418 0.479606128608881 0.191528472405153 0.678586757620204 0.365308042771266 -0.787636687501483 -1.43039217074229 -0.940335555316295 -0.212332971294843 0.64349663075283 -1.26680034194779 0.830108017319435 40
"18" "NOT_18EARLY" "coarNOTs_7518-21" 375 340 489 "F" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 31.23 1.86 3.01 1.43 1.37 3.69 9.81 3.89 7.93 3.23 2.58 3.96 4.54 3.66 7.22 2.96 64.12 4.76 24 14 56 "NOT_18EARLY" -0.006467013 5 1 850.1092 1211.5399 1456.8436 1567.5794 1674.2234 1789.7431 NA NA NA 5 -0.760300088102623 -0.0541439037532568 -0.0242064914085047 1.15014050573776 -0.25500839027867 0.204029581433296 0.788319639687678 0.367391243552398 0.079896053062038 1.23913677170566 -0.959901130466444 0.524868630060718 -0.578567404277589 0.020180844997524 -0.129697700608124 0.436039543776521 0.913127371314307 38
"19" "NOT_19EARLY" "coarNOTs_7519-21" 394 362 584 "F" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 33.05 2.23 3.19 1.5 1.34 4.11 10.61 4.13 7.87 3.6 2.49 4.53 4.61 3.93 7.6 3.13 65.34 5.07 25 13 56 "NOT_19EARLY" -0.014439665 6 1 746.9073 922.7288 1121.6976 1312.0382 1436.5836 1517.2723 1635.401 NA NA 6 1.10743072987497 0.200426467055502 0.0870439445154837 0.499653761279736 0.489485852605868 0.357892210680123 0.772093007933104 -1.36497745582093 0.551381460825555 -0.777898001892315 0.172307460358993 -0.0313719576028288 -0.273302938624011 -0.062525776452155 0.0608672136461624 0.538427491320124 1.22802047718796 38
"20" "NOT_20EARLY" "coarNOTs_7520-21" 401 365 637 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 33.77 2.07 3.21 1.5 1.33 4.17 10.79 3.88 8.53 3.31 2.66 4.57 4.57 3.66 7.66 3 67.74 4.86 26 16 60 "NOT_20EARLY" -0.004168158 6 1 894.6837 1272.9363 1465.9559 1762.6752 1866.0411 1983.3185 2035.7666 NA NA 6 0.0481406605381106 0.214359921888187 0.0337497251205236 0.345864537504538 0.604160222575401 0.539319508982791 -0.279328316644044 0.515580008660014 -0.707364633867434 0.358519649667256 0.188245744670602 -0.275572338806345 -1.14788767244299 -0.0539621726190666 -0.87111233095795 0.875368165667394 0.183736881048601 42
