sample_id,FISHES_id,long_tot,long_fourche,mass,sex,egg_dvpment,pop,ecotype,true_eco,genotype,STL,MXL,MDL,POL,OOL,PSL,TTL,DOL,LUL,ANL,CPL,CPD,PCL,PVL,BDD,HDD,AMO,HEA,lower_gill_raker,upper_gill_raker,middle_gill_raker_length,data$sample_id
NOT_1EARLY,coarNOTs_7501-21,389,358,548,M,3,NOT_summer,summer_run,summer_run,NOT_summer,32.9,2.15,3.11,1.27,1.37,3.68,10.46,3.9,8.34,3.63,2.29,4.48,4.59,3.66,7.48,3.17,64.38,5.41,26,16,57,NOT_1EARLY
NOT_2EARLY,coarNOTs_7502-21,368,335,440,M,3,NOT_summer,summer_run,summer_run,NOT_summer,30.56,2.06,3.1,1.31,1.45,3.65,9.27,3.88,7.36,3.46,2.34,4.51,4.23,4.08,6.65,2.89,57.6,4.41,26,15,60,NOT_2EARLY
NOT_3EARLY,coarNOTs_7503-21,405,368,648,M,3,NOT_summer,summer_run,summer_run,NOT_summer,33.24,2.07,3.17,1.52,1.32,4.34,10.24,3.7,8.69,3.53,2.6,4.33,4.71,4.36,7.96,3.18,71.56,5.12,26,16,53,NOT_3EARLY
NOT_4EARLY,coarNOTs_7504-21,388,355,575,M,3,NOT_summer,summer_run,summer_run,NOT_summer,32.45,2.09,3.75,1.62,1.31,4.14,10.13,3.93,8.13,3.57,2.76,4.2,4.78,4,7.51,3.39,56.9,4.96,27,16,66,NOT_4EARLY
NOT_5EARLY,coarNOTs_7505-21,390,357,506,M,3,NOT_summer,summer_run,summer_run,NOT_summer,32.78,2.1,3.05,1.37,1.2,3.98,10.46,3.99,7.97,3.24,2.48,4.32,4.22,3.9,6.83,2.86,68.54,5.12,29,18,58,NOT_5EARLY
NOT_6EARLY,coarNOTs_7506-21,379,357,588,F,3,NOT_summer,summer_run,summer_run,NOT_summer,31.78,1.95,2.83,1.41,1.22,3.55,10.53,3.67,8.21,3.45,2.51,4.12,4.56,4.13,7.48,2.83,52.62,4.82,26,15,52,NOT_6EARLY
NOT_7EARLY,coarNOTs_7507-21,380,343,446,M,3,NOT_summer,summer_run,summer_run,NOT_summer,31.18,1.81,2.74,1.39,1.14,3.6,9.52,4.15,8.08,3.57,2.25,3.97,4.08,3.84,7,2.71,57.34,4.51,21,17,56,NOT_7EARLY
NOT_8EARLY,coarNOTs_7508-21,387,353,536,F,3,NOT_summer,summer_run,summer_run,NOT_summer,32.14,2.11,3.34,1.87,1.25,3.83,9.86,3.29,8.28,3.18,2.44,4.43,4.56,3.77,7.39,3.15,62.71,4.85,25,16,47,NOT_8EARLY
NOT_9EARLY,coarNOTs_7509-21,401,367,474,F,3,NOT_summer,summer_run,summer_run,NOT_summer,33.47,1.98,3.08,1.39,1.24,4.14,10.36,4.47,8.52,3.65,2.79,5.05,4.67,4.06,8.12,3.06,68.91,4.7,NA,NA,NA,NOT_9EARLY
NOT_10EARLY,coarNOTs_7510-21,382,347,487,M,3,NOT_summer,summer_run,summer_run,NOT_summer,32.27,2.04,2.97,1.46,1.35,4,9.85,3.79,8.59,3.16,2.61,4.91,4.26,3.86,8.13,2.96,41.17,4.99,26,15,55,NOT_10EARLY
