n,Id,fishes_id,tot_length,fork_length,mass,Sex,egg_dev,Pop,date_capture,age,confiance,1_um,2_um,3_um,4_um,5_um,6_um,7_um,8_um,9_um
37,NOT_41EARLY,coarNOTs_7541-21,355,326,437,M,3,NOT_summer,august,4,2,863.6066,1215.2938,1368.0706,1528.1732,1630.7966,,,,
38,NOT_42EARLY,coarNOTs_7542-21,394,368,591,M,3,NOT_summer,august,5,1,380.9303,938.8503,1109.3864,1228.546,1355.2975,1468.2276,,,
39,NOT_43EARLY,coarNOTs_7543-21,347,318,394,F,3,NOT_summer,august,5,1,750.5328,1157.8452,1330.9169,1437.8464,1554.579,1602.4554,,,
40,NOT_44EARLY,coarNOTs_7544-21,355,324,410,M,3,NOT_summer,august,5,1,776.2976,1076.2286,1270.8894,1400.1715,1492.0085,1596.4977,,,
41,NOT_45EARLY,coarNOTs_7545-21,374,339,499,M,3,NOT_summer,august,5,1,707.3284,1014.7667,1278.7284,1410.298,1537.857,1650.3453,,,
42,NOT_46EARLY,coarNOTs_7546-21,392,367,602,M,3,NOT_summer,august,5,1,666.1579,988.4234,1233.9833,1361.5423,1465.021,1577.0476,,,
43,NOT_47EARLY,coarNOTs_7547-21,380,345,531,M,3,NOT_summer,august,5,1,677.5953,981.522,1244.7913,1371.6082,1475.557,1596.6763,,,
44,NOT_49EARLY,coarNOTs_7549-21,373,338,525,M,3,NOT_summer,august,5,1,636.7502,1003.7126,1224.6184,1339.2983,1432.7492,1514.4898,,,
45,NOT_50EARLY,coarNOTs_7550-21,395,359,612,F,3,NOT_summer,august,5,2,,,,,,,,,
46,NOT_52EARLY,coarNOTs_7552-21,400,366,668,M,3,NOT_summer,august,5,2,888.5348,1241.5761,1440.5881,1564.2246,1689.6022,1828.2347,,,
47,NOT_53EARLY,coarNOTs_7553-21,420,381,717,F,3,NOT_summer,august,6,1,864.1698,1113.1024,1322.184,1477.1045,1537.5614,1636.7725,1707.5803,,
48,NOT_54EARLY,coarNOTs_7554-21,391,354,540,F,3,NOT_summer,august,5,1,773.626,1082.9311,1302.1544,1430.4108,1507.2324,1631.3044,,,
49,NOT_55EARLY,coarNOTs_7555-21,401,369,540,M,3,NOT_summer,august,6,1,807.7723,1077.9143,1224.4396,1418.6632,1516.0123,1604.8574,1708.0121,,
50,NOT_56EARLY,coarNOTs_7556-21,375,345,511,M,3,NOT_summer,august,,,,,,,,,,,
51,NOT_57EARLY,coarNOTs_7557-21,392,364,512,M,3,NOT_summer,august,5,1,810.0488,1184.5204,1456.8676,1558.669,1664.9074,1767.2068,,,
52,NOT_58EARLY,coarNOTs_7558-21,374,341,459,M,3,NOT_summer,august,7,2,944.0274,1269.4954,1390.897,1483.5453,1567.5264,1622.5589,1672.9887,1719.1671,
53,NOT_59EARLY,coarNOTs_7559-21,397,361,563,F,3,NOT_summer,august,6,1,785.0514,1135.5363,1309.957,1483.5135,1555.6561,1624.8488,1685.3572,,
54,NOT_60EARLY,coarNOTs_7560-21,381,350,597,F,3,NOT_summer,august,4,2,758.1391,1293.6739,1443.3372,1586.7207,1663.9659,,,,
55,NOT_61EARLY,coarNOTs_7561-21,372,342,465,M,3,NOT_summer,august,4,1,732.3403,1065.6427,1308.245,1476.8791,1642.4156,,,,
56,NOT_62EARLY,coarNOTs_7562-21,402,371,644,M,3,NOT_summer,august,5,2,1038.6171,1431.2738,1667.636,1793.9011,1909.523,2001.9603,,,
57,NOT_63EARLY,coarNOTs_7563-21,417,384,774,M,3,NOT_summer,august,5,2,763.3738,1112.4263,1399.5436,1519.1136,1660.6735,1825.9006,,,
58,NOT_64EARLY,coarNOTs_7564-21,345,315,366,F,3,NOT_summer,august,5,1,466.0498,842.3367,1010.5273,1046.1574,1139.7746,1234.8757,,,
59,NOT_65EARLY,coarNOTs_7565-21,395,362,596,M,3,NOT_summer,august,5,2,847.0238,1266.4971,1457.4232,1564.0612,1617.351,1671.8722,,,
60,NOT_66EARLY,coarNOTs_7566-21,401,362,596,M,3,NOT_summer,august,6,1,734.9972,1192.7529,1405.3334,1595.7549,1694.5043,1777.4014,1837.9317,,
61,NOT_67EARLY,coarNOTs_7567-21,377,346,511,F,3,NOT_summer,august,5,1,839.5188,1253.531,1473.6114,1594.9486,1718.2857,1825.2482,,,
62,NOT_68EARLY,coarNOTs_7568-21,392,361,585,F,3,NOT_summer,august,5,1,789.0773,1093.2495,1326.5902,1462.3499,1574.7275,1695.8468,,,
63,NOT_69_LATE,coarNOTs_7701-21,329,299,359,F,4,NOT_fall,october,5,2,737.0836,1097.8116,1279.4964,1570.1624,1739.0668,1829.1035,,,
64,NOT_70_LATE,coarNOTs_7702-21,407,367,653,F,4,NOT_fall,october,6,2,791.4236,1125.3693,1345.1371,1521.2265,1697.2683,1897.5147,1986.3269,,
65,NOT_71_LATE,coarNOTs_7703-21,337,311,344,M,3,NOT_fall,october,4,1,788.9313,1140.8543,1362.6598,1537.0211,1578.8136,,,,
66,NOT_72_LATE,coarNOTs_7704-21,355,319,380,F,4,NOT_fall,october,5,2,834.6295,1148.1478,1370.383,1508.8358,1550.6035,1609.8122,,,
67,NOT_74_LATE,coarNOTs_7706-21,312,285,640,F,4,NOT_fall,october,6,2,770.2286,1074.1566,1255.5626,1446.1952,1676.9528,1785.733,1842.5201,,
68,NOT_76_LATE,coarNOTs_7708-21,360,327,486,F,4,NOT_fall,october,5,2,714.0498,1091.9457,1288.7984,1402.8438,1548.6385,1661.4426,,,
69,NOT_77_LATE,coarNOTs_7709-21,334,299,352,M,4,NOT_fall,october,4,1,740.2976,1031.7902,1275.0289,1480.7902,1603.4497,,,,
70,NOT_78_LATE,coarNOTs_7710-21,340,310,394,F,5,NOT_fall,october,5,1,794.4638,1157.1418,1389.0423,1580.126,1738.6336,1801.0321,,,
71,NOT_79_LATE,coarNOTs_7711-21,305,277,270,M,3,NOT_fall,october,3,1,718.0121,1215.4855,1472.9427,1571.7348,,,,,
72,NOT_80_LATE,coarNOTs_7712-21,355,324,368,M,3,NOT_fall,october,4,2,653.7203,1082.4655,1253.8471,1456.0508,1556.5999,,,,
73,NOT_82_LATE,coarNOTs_7714-21,368,333,420,M,3,NOT_fall,october,6,1,830.0481,1284.2419,1658.6132,1825.6261,1987.5849,2109.542,2166.5648,,
74,NOT_83_LATE,coarNOTs_7715-21,310,280,281,M,3,NOT_fall,october,4,1,875.9843,1177.2786,1398.466,1592.3943,1697.6914,,,,
75,NOT_84_LATE,coarNOTs_7716-21,338,294,313,M,3,NOT_fall,october,4,1,654.2842,1075.3452,1388.2079,1675.1675,1812.8257,,,,
76,NOT_85_LATE,coarNOTs_7717-21,322,292,308,F,4,NOT_fall,october,5,1,768.9763,1201.1285,1426.3281,1589.3185,1735.9728,1818.8699,,,
77,NOT_86_LATE,coarNOTs_7718-21,317,286,312,F,4,NOT_fall,october,5,1,777.6697,1125.3557,1325.6146,1506.0793,1643.6604,1711.5975,,,
78,NOT_88_LATE,coarNOTs_7720-21,328,295,291,F,5,NOT_fall,october,5,1,726.1509,1053.184,1238.1402,1415.51,1595.2733,1637.1042,,,
79,NOT_90_LATE,coarNOTs_7722-21,315,286,344,F,4,NOT_fall,october,5,1,793.6919,1157.4721,1330.2619,1477.7748,1590.4473,1659.1133,,,
80,NOT_91_LATE,coarNOTs_7723-21,324,291,265,M,4,NOT_fall,october,4,1,791.0005,1077.6276,1321.1389,1480.2214,1559.7626,,,,
81,NOT_92_LATE,coarNOTs_7724-21,388,355,315,M,4,NOT_fall,october,4,1,825.5534,1243.0663,1452.8758,1612.3034,1692.5715,,,,
82,NOT_94_LATE,coarNOTs_7726-21,365,331,NA,F,5,NOT_fall,october,5,2,635.0103,1114.7176,1388.1341,1606.1946,1731.5137,1852.5742,,,
83,NOT_95_LATE,coarNOTs_7727-21,364,330,NA,F,5,NOT_fall,october,7,2,635.3428,1137.381,1369.4496,1560.6003,1669.18,1785.4525,1835.7268,1894.3154,
84,NOT_96_LATE,coarNOTs_7728-21,309,285,NA,M,4,NOT_fall,october,4,2,677.0485,1019.1682,1182.3255,1329.4089,1445.3569,,,,
85,NOT_97_LATE,coarNOTs_7729-21,332,296,NA,M,4,NOT_fall,october,4,1,663.2098,1107.2149,1289.0178,1440.4955,1560.4015,,,,
