Community,river_name,sample_n,species,date,length,lat,long,stock,FISHES_ID
Eastmain,Mixed,784,Whitefish,15-07-2022,330,52.26318,-78.56783,Mixed,coclEASm_784-22
Eastmain,Mixed,794,Whitefish,15-07-2022,365,52.26318,-78.56783,Mixed,coclEASm_794-22
Eastmain,Mixed,798,Whitefish,15-07-2022,378,52.26318,-78.56783,Mixed,coclEASm_798-22
Eastmain,Mixed,800,Whitefish,15-07-2022,390,52.26318,-78.56783,Mixed,coclEASm_800-22
Eastmain,Mixed,801,Whitefish,15-07-2022,350,52.26318,-78.56783,Mixed,coclEASm_801-22
Eastmain,Mixed,816,Whitefish,15-07-2022,378,52.26318,-78.56783,Mixed,coclEASm_816-22
Eastmain,Mixed,819,Whitefish,15-07-2022,360,52.26318,-78.56783,Mixed,coclEASm_819-22
Eastmain,Mixed,822,Whitefish,15-07-2022,308,52.26318,-78.56783,Mixed,coclEASm_822-22
Eastmain,Mixed,826,Whitefish,16-07-2022,396,52.26318,-78.56783,Mixed,coclEASm_826-22
Eastmain,Mixed,827,Whitefish,16-07-2022,334,52.26318,-78.56783,Mixed,coclEASm_827-22
Eastmain,Mixed,828,Whitefish,16-07-2022,339,52.26318,-78.56783,Mixed,coclEASm_828-22
Eastmain,Mixed,829,Whitefish,16-07-2022,335,52.26318,-78.56783,Mixed,coclEASm_829-22
Eastmain,Mixed,830,Whitefish,16-07-2022,386,52.26318,-78.56783,Mixed,coclEASm_830-22
Eastmain,Mixed,831,Whitefish,16-07-2022,395,52.26318,-78.56783,Mixed,coclEASm_831-22
Eastmain,Mixed,832,Whitefish,16-07-2022,413,52.26318,-78.56783,Mixed,coclEASm_832-22
Eastmain,Mixed,833,Whitefish,16-07-2022,407,52.26318,-78.56783,Mixed,coclEASm_833-22
Eastmain,Mixed,834,Whitefish,16-07-2022,352,52.26318,-78.56783,Mixed,coclEASm_834-22
Eastmain,Mixed,835,Whitefish,16-07-2022,303,52.26318,-78.56783,Mixed,coclEASm_835-22
Eastmain,Mixed,840,Whitefish,19-07-2022,380,52.26318,-78.56783,Mixed,coclEASm_840-22
Eastmain,Mixed,841,Whitefish,19-07-2022,400,52.26318,-78.56783,Mixed,coclEASm_841-22
Eastmain,Mixed,842,Whitefish,19-07-2022,330,52.26318,-78.56783,Mixed,coclEASm_842-22
Eastmain,Mixed,843,Whitefish,19-07-2022,400,52.26318,-78.56783,Mixed,coclEASm_843-22
Eastmain,Mixed,844,Whitefish,19-07-2022,350,52.26318,-78.56783,Mixed,coclEASm_844-22
Eastmain,Mixed,845,Whitefish,19-07-2022,330,52.26318,-78.56783,Mixed,coclEASm_845-22
Eastmain,Mixed,846,Whitefish,19-07-2022,370,52.26318,-78.56783,Mixed,coclEASm_846-22
Eastmain,Mixed,847,Whitefish,19-07-2022,370,52.26318,-78.56783,Mixed,coclEASm_847-22
Eastmain,Mixed,848,Whitefish,19-07-2022,355,52.26318,-78.56783,Mixed,coclEASm_848-22
