Sample	Total Reads	Off-target Reads	Primer Only Reads	Primer Probe Reads	Off-target Proportion	Primer Only Proportion	Primer Probe Proportion
coarCHIm-2563-21	167892	14810	60005	93077	0.09	0.36	0.55
coarCHIm-2801-21	56182	4529	18199	33454	0.08	0.32	0.60
coarCHIm-2802-21	21144	2191	6239	12714	0.10	0.30	0.60
coarCHIm-2803-21	24107	2123	6126	15858	0.09	0.25	0.66
coarCHIm-2804-21	23555	2212	6138	15205	0.09	0.26	0.65
coarCHIm-2805-21	21079	2220	5796	13063	0.11	0.27	0.62
coarCHIm-2806-21	20307	2031	5605	12671	0.10	0.28	0.62
coarCHIm-2807-21	17519	1722	4481	11316	0.10	0.26	0.65
coarCHIm-2808-21	20555	1948	5654	12953	0.09	0.28	0.63
coarCHIm-2809-21	15713	1560	3847	10306	0.10	0.24	0.66
coarCHIm-2810-21	24595	2387	6896	15312	0.10	0.28	0.62
coarCHIm-2811-21	22721	2016	5995	14710	0.09	0.26	0.65
coarCHIm-2812-21	41959	3629	12283	26047	0.09	0.29	0.62
coarCHIm-2813-21	34538	3025	10529	20984	0.09	0.30	0.61
coarCHIm-2814-21	13475	1469	3574	8432	0.11	0.27	0.63
coarCHIm-2815-21	19191	2188	5679	11324	0.11	0.30	0.59
coarCHIm-2816-21	23156	2805	6737	13614	0.12	0.29	0.59
coarCHIm-2817-21	20009	2165	5642	12202	0.11	0.28	0.61
coarCHIm-2818-21	16092	1940	4862	9290	0.12	0.30	0.58
coarCHIm-2819-21	18534	2160	5556	10818	0.12	0.30	0.58
coarCHIm-2820-21	18368	1937	4987	11444	0.11	0.27	0.62
coarCHIm-2821-21	13742	1487	3849	8406	0.11	0.28	0.61
coarCHIm-2822-21	18513	1987	5189	11337	0.11	0.28	0.61
coarCHIm-2823-21	16241	1802	4420	10019	0.11	0.27	0.62
coarCHIm-2824-21	20016	2033	6037	11946	0.10	0.30	0.60
coarCHIm-2825-21	38083	3372	12026	22685	0.09	0.32	0.60
coarCHIm-4901-21	10938	1291	3819	5828	0.12	0.35	0.53
coarCHIm-4902-21	10391	1219	3352	5820	0.12	0.32	0.56
coarCHIm-4903-21	10990	1247	3548	6195	0.11	0.32	0.56
coarCHIm-4904-21	10828	1194	3456	6178	0.11	0.32	0.57
coarCHIm-4905-21	10611	1297	3383	5931	0.12	0.32	0.56
coarCHIm-4906-21	10646	1302	3563	5781	0.12	0.33	0.54
coarCHIm-4907-21	10933	1309	3770	5854	0.12	0.34	0.54
coarCHIm-4908-21	9157	1230	3215	4712	0.13	0.35	0.51
coarCHIm-4909-21	15273	1854	5359	8060	0.12	0.35	0.53
coarCHIm-4910-21	25779	8731	17045	3	0.34	0.66	0.00
coarCHIm-4911-21	19506	6476	13030	0	0.33	0.67	0.00
coarCHIm-4912-21	21262	6968	14292	2	0.33	0.67	0.00
coarCHIm-4913-21	21892	7180	14712	0	0.33	0.67	0.00
coarCHIm-4914-21	19389	6280	13108	1	0.32	0.68	0.00
coarCHIm-4915-21	15073	4991	10082	0	0.33	0.67	0.00
coarCHIm-4916-21	19251	6415	12832	4	0.33	0.67	0.00
coarCHIm-4917-21	184048	23735	92961	67352	0.13	0.51	0.37
coarCHIm-4918-21	87379	8296	33040	46043	0.09	0.38	0.53
coarCHIm-4919-21	56064	5165	18652	32247	0.09	0.33	0.58
coarCHIm-4920-21	55094	5574	20094	29426	0.10	0.36	0.53
coarCHIm-4921-21	60264	6187	20826	33251	0.10	0.35	0.55
coarCHIm-4922-21	64001	6111	22881	35009	0.10	0.36	0.55
coarCHIm-4923-21	45198	4046	14355	26797	0.09	0.32	0.59
coarCHIm-4924-21	55499	6340	19781	29378	0.11	0.36	0.53
coarCHIm-4925-21	57375	6047	20500	30828	0.11	0.36	0.54
coarCHIm-4976-21	52934	4958	17997	29979	0.09	0.34	0.57
coarCHIm-4977-21	78011	6037	25273	46701	0.08	0.32	0.60
coarCHIm-4978-21	115753	12387	54324	49042	0.11	0.47	0.42
