Sample	Total Reads	Off-target Reads	Primer Only Reads	Primer Probe Reads	Off-target Proportion	Primer Only Proportion	Primer Probe Proportion
coarEASm-284-21	24332	3337	6554	14441	0.14	0.27	0.59
coarEASm-285-21	23773	2989	5849	14935	0.13	0.25	0.63
coarEASm-286-21	15328	1711	2653	10964	0.11	0.17	0.72
coarEASm-320-21	22313	2893	5688	13732	0.13	0.25	0.62
coarEASm-321-21	24065	3119	6266	14680	0.13	0.26	0.61
coarEASm-4237-22	22930	2563	6667	13700	0.11	0.29	0.60
coarEASm-4241-22	19584	2090	5267	12227	0.11	0.27	0.62
coarEASm-4265-22	31457	2489	7719	21249	0.08	0.25	0.68
coarEASm-4298-22	53015	4919	16466	31630	0.09	0.31	0.60
coarEASm-4299-22	24795	2883	7342	14570	0.12	0.30	0.59
coarEASm-4300-22	30166	3628	9319	17219	0.12	0.31	0.57
coarEASm-4354-22	26487	3188	8226	15073	0.12	0.31	0.57
coarEASm-4355-22	23969	2957	7221	13791	0.12	0.30	0.58
coarEASm-4356-22	22301	2521	6331	13449	0.11	0.28	0.60
coarEASm-4357-22	20504	2650	6436	11418	0.13	0.31	0.56
coarEASm-4380-22	24062	3175	8032	12855	0.13	0.33	0.53
coarEASm-4381-22	19026	2417	5680	10929	0.13	0.30	0.57
coarEASm-4382-22	19207	2224	5597	11386	0.12	0.29	0.59
coarEASm-4415-22	7	3	2	2	0.43	0.29	0.29
coarEASm-4432-22	24228	1924	5900	16404	0.08	0.24	0.68
coarEASm-4433-22	42127	3814	12907	25406	0.09	0.31	0.60
coarEASm-5136-22	23023	2702	7215	13106	0.12	0.31	0.57
coarEASm-5137-22	26759	3049	7802	15908	0.11	0.29	0.59
coarEASm-5138-22	24886	2891	7977	14018	0.12	0.32	0.56
coarEASm-5139-22	24344	2982	7736	13626	0.12	0.32	0.56
coarEASm-5140-22	24970	2649	6631	15690	0.11	0.27	0.63
coarEASm-5141-22	22967	3039	7460	12468	0.13	0.32	0.54
coarEASm-527-21	194397	36453	122781	35163	0.19	0.63	0.18
coarEASm-528-21	34509	4351	10557	19601	0.13	0.31	0.57
coarEASm-529-21	54132	4495	10173	39464	0.08	0.19	0.73
coarEASm-530-21	22728	2956	6428	13344	0.13	0.28	0.59
coarEASm-531-21	2403	1075	1325	3	0.45	0.55	0.00
coarEASm-532-21	21097	3361	6614	11122	0.16	0.31	0.53
coarEASm-533-21	25980	3449	6855	15676	0.13	0.26	0.60
coarEASm-534-21	23791	3237	6708	13846	0.14	0.28	0.58
coarEASm-535-21	26465	3516	7058	15891	0.13	0.27	0.60
coarEASm-536-21	22241	3067	6010	13164	0.14	0.27	0.59
coarEASm-537-21	22402	3022	6020	13360	0.13	0.27	0.60
coarEASm-538-21	24421	2942	5792	15687	0.12	0.24	0.64
coarEASm-539-21	26487	3278	6514	16695	0.12	0.25	0.63
coarEASm-540-21	51376	5546	13895	31935	0.11	0.27	0.62
coarEASm-541-21	75870	7091	14039	54740	0.09	0.19	0.72
coarEASm-542-21	72764	9830	28230	34704	0.14	0.39	0.48
coarEASm-543-21	64152	8950	25440	29762	0.14	0.40	0.46
coarEASm-544-21	46869	8322	19958	18589	0.18	0.43	0.40
coarEASm-545-21	57976	7316	19804	30856	0.13	0.34	0.53
coarEASm-546-21	62175	7172	20771	34232	0.12	0.33	0.55
coarEASm-547-21	67069	5635	15784	45650	0.08	0.24	0.68
coarEASm-548-21	76492	7365	22608	46519	0.10	0.30	0.61
coarEASm-549-21	66209	6804	19749	39656	0.10	0.30	0.60
coarEASm-550-21	35728	3289	7406	25033	0.09	0.21	0.70
coarEASm-572-21	88159	8359	33768	46032	0.09	0.38	0.52
coarEASm-573-21	78796	7562	29342	41892	0.10	0.37	0.53
coarEASm-574-21	61258	4795	18307	38156	0.08	0.30	0.62
coarEASm-575-21	63510	5836	21113	36561	0.09	0.33	0.58
coarEASm-576-21	66106	6111	23135	36860	0.09	0.35	0.56
coarEASm-601-21	77181	6899	26678	43604	0.09	0.35	0.56
coarEASm-602-21	74232	6826	27173	40233	0.09	0.37	0.54
coarEASm-603-21	67297	5903	22787	38607	0.09	0.34	0.57
coarEASm-604-21	54151	4145	17097	32909	0.08	0.32	0.61
coarEASm-605-21	86052	6927	28484	50641	0.08	0.33	0.59
coarEASm-606-21	163539	27691	94097	41751	0.17	0.58	0.26
coarEASm-607-21	51012	4416	15369	31227	0.09	0.30	0.61
coarEASm-608-21	15267	1263	3495	10509	0.08	0.23	0.69
coarEASm-609-21	27683	2522	6841	18320	0.09	0.25	0.66
coarEASm-610-21	22874	2389	6063	14422	0.10	0.27	0.63
coarEASm-611-21	19624	2168	5397	12059	0.11	0.28	0.61
coarEASm-612-21	16543	1717	4363	10463	0.10	0.26	0.63
coarEASm-613-21	14471	1516	3670	9285	0.10	0.25	0.64
coarEASm-614-21	19608	1893	4872	12843	0.10	0.25	0.65
coarEASm-615-21	20220	1917	4851	13452	0.09	0.24	0.67
coarEASm-616-21	19622	1938	4872	12812	0.10	0.25	0.65
coarEASm-617-21	21581	2169	5145	14267	0.10	0.24	0.66
coarEASm-618-21	33489	2848	9011	21630	0.09	0.27	0.65
coarEASm-619-21	39234	2896	9956	26382	0.07	0.25	0.67
coarEASm-655-21	18491	2037	5189	11265	0.11	0.28	0.61
coarEASm-656-21	17255	1668	4337	11250	0.10	0.25	0.65
coarEASm-657-21	17736	2110	5056	10570	0.12	0.29	0.60
coarEASm-658-21	18103	2159	5193	10751	0.12	0.29	0.59
coarEASm-785-22	22805	2598	6099	14108	0.11	0.27	0.62
coarEASm-786-22	20760	2258	5465	13037	0.11	0.26	0.63
coarEASm-787-22	25129	2591	6205	16333	0.10	0.25	0.65
coarEASm-788-22	31308	2887	7383	21038	0.09	0.24	0.67
coarEASm-789-22	79719	7175	27189	45355	0.09	0.34	0.57
coarEASm-790-22	31836	3300	8513	20023	0.10	0.27	0.63
coarEASm-791-22	30807	3483	8742	18582	0.11	0.28	0.60
coarEASm-792-22	24381	2579	6738	15064	0.11	0.28	0.62
coarEASm-793-22	28236	2899	7421	17916	0.10	0.26	0.63
coarEASm-795-22	31109	3376	8656	19077	0.11	0.28	0.61
coarEASm-796-22	27526	2561	6601	18364	0.09	0.24	0.67
coarEASm-797-22	72814	7653	24148	41013	0.11	0.33	0.56
coarEASm-799-22	27116	2758	6766	17592	0.10	0.25	0.65
coarEASm-802-22	64576	5798	18290	40488	0.09	0.28	0.63
coarEASm-803-22	27141	2686	6611	17844	0.10	0.24	0.66
coarEASm-805-22	147609	15041	61351	71217	0.10	0.42	0.48
coarEASm-806-22	201943	29457	114712	57774	0.15	0.57	0.29
coarEASm-807-22	98301	8442	37034	52825	0.09	0.38	0.54
coarEASm-808-22	65936	6759	24765	34412	0.10	0.38	0.52
coarEASm-809-22	67082	5959	22633	38490	0.09	0.34	0.57
coarEASm-810-22	61405	6767	24321	30317	0.11	0.40	0.49
coarEASm-811-22	64990	5839	21517	37634	0.09	0.33	0.58
coarEASm-812-22	73376	5835	22917	44624	0.08	0.31	0.61
coarEASm-813-22	83704	8265	31607	43832	0.10	0.38	0.52
coarEASm-814-22	57824	5357	18839	33628	0.09	0.33	0.58
coarEASm-815-22	52754	4635	17502	30617	0.09	0.33	0.58
coarEASm-817-22	76774	5497	22440	48837	0.07	0.29	0.64
coarEASm-818-22	109132	14313	46996	47823	0.13	0.43	0.44
coarEASm-820-22	48704	4300	15058	29346	0.09	0.31	0.60
coarEASm-821-22	14567	1635	4194	8738	0.11	0.29	0.60
coarEASm-823-22	25518	3015	7655	14848	0.12	0.30	0.58
coarEASm-824-22	21226	2681	6455	12090	0.13	0.30	0.57
coarEASm-825-22	26946	3785	9168	13993	0.14	0.34	0.52
coarEASm-836-22	21508	2787	6787	11934	0.13	0.32	0.55
coarEASm-837-22	23014	3172	7539	12303	0.14	0.33	0.53
coarEASm-838-22	23519	2862	7124	13533	0.12	0.30	0.58
coarEASm-839-22	24753	2983	7233	14537	0.12	0.29	0.59
coarEASm-852-22	20056	2290	5940	11826	0.11	0.30	0.59
coarEASm-856-22	21155	2066	5285	13804	0.10	0.25	0.65
coarEASm-858-22	35650	3348	10609	21693	0.09	0.30	0.61
coarEASm-867-22	34659	4044	12290	18325	0.12	0.35	0.53
coarEASm-877-22	23510	2874	7265	13371	0.12	0.31	0.57
coarEASm-905-22	25692	3450	8711	13531	0.13	0.34	0.53
coarEASm-909-22	25144	2983	7505	14656	0.12	0.30	0.58
coarEASm-910-22	24498	3303	8155	13040	0.13	0.33	0.53
coarEASm-911-22	21323	2910	7743	10670	0.14	0.36	0.50
coarEASm-914-22	20663	2901	6790	10972	0.14	0.33	0.53
coarEASm-926-22	22892	3000	7038	12854	0.13	0.31	0.56
coarEASm-928-22	20041	2471	5850	11720	0.12	0.29	0.58
coarEASm-929-22	18216	2030	4966	11220	0.11	0.27	0.62
coarEASm-930-22	20700	2184	5504	13012	0.11	0.27	0.63
coarEASm-931-22	20346	1949	5597	12800	0.10	0.28	0.63
coarEASm-934-22	42683	4144	13340	25199	0.10	0.31	0.59
coarEASm-935-22	25254	3060	7962	14232	0.12	0.32	0.56
coarEASm-936-22	28749	3843	9672	15234	0.13	0.34	0.53
coarEASm-937-22	23926	2960	7431	13535	0.12	0.31	0.57
coarEASm-938-22	25966	3389	9247	13330	0.13	0.36	0.51
coarEASm-940-22	21782	2929	7297	11556	0.13	0.34	0.53
coarEASm-941-22	17460	2579	6307	8574	0.15	0.36	0.49
coarEASm-942-22	22845	3140	7460	12245	0.14	0.33	0.54
coarEASm-946-22	25652	3256	8197	14199	0.13	0.32	0.55
coarEASs-578-21	108821	8614	25654	74553	0.08	0.24	0.69
coarEASs-580-22	65635	6650	17860	41125	0.10	0.27	0.63
coarEASs-581-23	41931	4697	10953	26281	0.11	0.26	0.63
coarEASs-582-24	57320	5431	13527	38362	0.09	0.24	0.67
coarEASs-583-25	37364	4083	9459	23822	0.11	0.25	0.64
coarEASs-584-26	86066	7053	19267	59746	0.08	0.22	0.69
coarEASs-585-27	32482	3422	7670	21390	0.11	0.24	0.66
coarEASs-586-28	42268	4787	11024	26457	0.11	0.26	0.63
coarEASs-587-29	42942	4721	10610	27611	0.11	0.25	0.64
coarEASs-588-30	52475	5584	13325	33566	0.11	0.25	0.64
coarEASs-589-31	59701	6824	17696	35181	0.11	0.30	0.59
coarEASs-597-21	119437	14003	44787	60647	0.12	0.37	0.51
coarEASs-598-21	38595	3805	8229	26561	0.10	0.21	0.69
coarEASs-620-21	29618	3463	6893	19262	0.12	0.23	0.65
coarEASs-621-21	23679	3173	6018	14488	0.13	0.25	0.61
coarEASs-622-21	28627	3307	6217	19103	0.12	0.22	0.67
coarEASs-623-21	21933	3058	5971	12904	0.14	0.27	0.59
coarEASs-626-21	34790	3781	8246	22763	0.11	0.24	0.65
coarEASs-627-21	20443	2956	6022	11465	0.14	0.29	0.56
coarEASs-638-22	9719	1107	2657	5955	0.11	0.27	0.61
coarEASs-643-22	10082	1293	3084	5705	0.13	0.31	0.57
coarEASs-645-22	17251	1876	5215	10160	0.11	0.30	0.59
coarEASs-646-22	19237	1857	5139	12241	0.10	0.27	0.64
coarEASs-647-22	11823	1395	3331	7097	0.12	0.28	0.60
coarEASs-649-22	11191	1287	3166	6738	0.12	0.28	0.60
coarEASs-650-22	12062	1321	3151	7590	0.11	0.26	0.63
coarEASs-662-21	15639	2199	3862	9578	0.14	0.25	0.61
coarEASs-665-21	17473	3107	5972	8394	0.18	0.34	0.48
coarEASs-666-21	19404	2992	5472	10940	0.15	0.28	0.56
coarEASs-667-21	18571	3123	5922	9526	0.17	0.32	0.51
coarEASs-668-21	11765	2562	4612	4591	0.22	0.39	0.39
coarEASs-669-21	25489	3308	5808	16373	0.13	0.23	0.64
coarEASs-675-21	48858	5398	11800	31660	0.11	0.24	0.65
coarEASs-685-22	12595	1303	3863	7429	0.10	0.31	0.59
coarEASs-686-22	11266	1199	3048	7019	0.11	0.27	0.62
coarEASs-687-22	13572	1376	3554	8642	0.10	0.26	0.64
coarEASs-689-22	13091	1205	3038	8848	0.09	0.23	0.68
coarEASs-704-22	12899	1459	3704	7736	0.11	0.29	0.60
coarEASs-705-22	9807	1265	3069	5473	0.13	0.31	0.56
coarEASs-706-22	11439	1369	3620	6450	0.12	0.32	0.56
coarEASs-708-22	17896	1860	5093	10943	0.10	0.28	0.61
coarEASs-710-22	24416	2322	8353	13741	0.10	0.34	0.56
coarEASs-711-22	12322	1312	3326	7684	0.11	0.27	0.62
coarEASs-712-22	13126	1415	3512	8199	0.11	0.27	0.62
coarEASs-713-22	12837	1415	3272	8150	0.11	0.25	0.63
coarEASs-714-22	11551	1170	2930	7451	0.10	0.25	0.65
coarEASs-715-22	3186	348	774	2064	0.11	0.24	0.65
coarEASs-716-22	10511	686	1150	8675	0.07	0.11	0.83
coarEASs-717-22	2413	288	520	1605	0.12	0.22	0.67
coarEASs-718-22	3036	426	757	1853	0.14	0.25	0.61
coarEASs-720-22	2556	341	682	1533	0.13	0.27	0.60
coarEASs-722-22	3018	469	869	1680	0.16	0.29	0.56
coarEASs-723-22	6340	533	1263	4544	0.08	0.20	0.72
coarEASs-724-22	34065	3605	12280	18180	0.11	0.36	0.53
coarEASs-728-22	20631	2267	6611	11753	0.11	0.32	0.57
coarEASs-729-22	21340	2197	6846	12297	0.10	0.32	0.58
coarEASs-731-22	21951	2389	7340	12222	0.11	0.33	0.56
coarEASs-732-22	27278	2903	8828	15547	0.11	0.32	0.57
coarEASs-733-22	27632	2692	8141	16799	0.10	0.29	0.61
coarEASs-734-22	22560	2393	7553	12614	0.11	0.33	0.56
coarEASs-751-21	21979	2804	5294	13881	0.13	0.24	0.63
coarEASs-752-21	29505	3529	7232	18744	0.12	0.25	0.64
coarEASs-753-21	26777	3508	6857	16412	0.13	0.26	0.61
coarEASs-754-21	21407	2661	5306	13440	0.12	0.25	0.63
coarEASs-755-21	22207	2757	5196	14254	0.12	0.23	0.64
coarEASs-756-21	20006	2927	6289	10790	0.15	0.31	0.54
coarEASs-757-21	27903	3269	5932	18702	0.12	0.21	0.67
coarEASs-758-21	19278	2389	4382	12507	0.12	0.23	0.65
coarEASs-759-21	24679	2909	5564	16206	0.12	0.23	0.66
coarEASs-760-21	28085	3479	7194	17412	0.12	0.26	0.62
coarEASs-761-21	32135	3517	8636	19982	0.11	0.27	0.62
coarEASs-762-21	23344	3007	5981	14356	0.13	0.26	0.61
coarEASs-763-21	25301	3108	5938	16255	0.12	0.23	0.64
coarEASs-764-21	23069	3013	5987	14069	0.13	0.26	0.61
coarEASs-765-21	18465	2450	5362	10653	0.13	0.29	0.58
coarEASs-766-21	18066	2528	5407	10131	0.14	0.30	0.56
coarEASs-767-21	22088	2946	5317	13825	0.13	0.24	0.63
coarEASs-768-21	21850	2614	5801	13435	0.12	0.27	0.61
coarEASs-769-21	28417	2991	5637	19789	0.11	0.20	0.70
coarEASs-770-21	20634	2465	5564	12605	0.12	0.27	0.61
coarEASs-771-21	20969	2582	5198	13189	0.12	0.25	0.63
coarFISs-10-22	10674	1247	3036	6391	0.12	0.28	0.60
coarFISs-11-22	12874	1295	3346	8233	0.10	0.26	0.64
coarFISs-12-22	11926	1413	3517	6996	0.12	0.29	0.59
coarFISs-1-22	25337	2729	8297	14311	0.11	0.33	0.56
coarFISs-13-22	12808	1518	3715	7575	0.12	0.29	0.59
coarFISs-14-22	16780	2071	5428	9281	0.12	0.32	0.55
coarFISs-15-22	9381	1126	2779	5476	0.12	0.30	0.58
coarFISs-16-22	13256	1473	3689	8094	0.11	0.28	0.61
coarFISs-17-22	15930	1854	5067	9009	0.12	0.32	0.57
coarFISs-18-22	16086	1711	4617	9758	0.11	0.29	0.61
coarFISs-19-22	12781	1636	4062	7083	0.13	0.32	0.55
coarFISs-20-22	10084	1245	2992	5847	0.12	0.30	0.58
coarFISs-2-22	26079	2771	8476	14832	0.11	0.33	0.57
coarFISs-3-22	32558	3225	10433	18900	0.10	0.32	0.58
coarFISs-4-22	33267	3097	10488	19682	0.09	0.32	0.59
coarFISs-5-22	46375	6025	20301	20049	0.13	0.44	0.43
coarFISs-6-22	18490	1981	5635	10874	0.11	0.30	0.59
coarFISs-7-22	10589	1366	3328	5895	0.13	0.31	0.56
coarFISs-8-22	11895	1375	3419	7101	0.12	0.29	0.60
coarFISs-9-22	12174	1399	3434	7341	0.11	0.28	0.60
coarLAGs-001-20	13600	1445	4269	7886	0.11	0.31	0.58
coarLAGs-002-20	13169	1413	3626	8130	0.11	0.28	0.62
coarLAGs-003-20	13030	1305	3429	8296	0.10	0.26	0.64
coarLAGs-004-20	10907	1228	2916	6763	0.11	0.27	0.62
coarLAGs-005-20	13923	1623	4176	8124	0.12	0.30	0.58
coarLAGs-006-20	12787	1319	3211	8257	0.10	0.25	0.65
coarLAGs-007-20	14642	1609	4165	8868	0.11	0.28	0.61
coarLAGs-008-20	24102	2894	8626	12582	0.12	0.36	0.52
coarLAGs-009-20	19090	1964	5853	11273	0.10	0.31	0.59
coarLAGs-010-20	12055	1169	3009	7877	0.10	0.25	0.65
coarLAGs-011-20	13831	1444	4402	7985	0.10	0.32	0.58
coarLAGs-012-20	13730	1537	3977	8216	0.11	0.29	0.60
coarLAGs-013-20	11881	1318	3228	7335	0.11	0.27	0.62
coarLAGs-014-20	14803	1255	3398	10150	0.08	0.23	0.69
coarLAGs-015-20	8930	1169	2690	5071	0.13	0.30	0.57
coarLAGs-016-20	12958	1349	3178	8431	0.10	0.25	0.65
coarLAGs-017-20	13823	1560	4183	8080	0.11	0.30	0.58
coarLAGs-018-20	11344	1193	2900	7251	0.11	0.26	0.64
coarLAGs-019-20	12117	1375	3357	7385	0.11	0.28	0.61
coarLAGs-020-20	20525	2260	7155	11110	0.11	0.35	0.54
coarLAGs-031-20	18051	1891	5776	10384	0.10	0.32	0.58
coarLAGs-032-20	10913	1307	3321	6285	0.12	0.30	0.58
coarLAGs-033-20	13068	1534	4187	7347	0.12	0.32	0.56
coarLAGs-034-20	23188	1865	5082	16241	0.08	0.22	0.70
coarLAGs-035-20	12395	1371	3592	7432	0.11	0.29	0.60
coarLAGs-036-20	16564	1450	3762	11352	0.09	0.23	0.69
coarLAGs-037-20	14048	1487	3941	8620	0.11	0.28	0.61
coarLAGs-038-20	11987	1276	3135	7576	0.11	0.26	0.63
coarLAGs-039-20	21399	1699	4735	14965	0.08	0.22	0.70
coarLAGs-040-20	13128	1463	3709	7956	0.11	0.28	0.61
coarNOTs-025-20	60423	8755	28290	23378	0.14	0.47	0.39
coarNOTs-026-20	1613	278	789	546	0.17	0.49	0.34
coarNOTs-027-20	41419	3803	13432	24184	0.09	0.32	0.58
coarNOTs-028-20	30973	3069	10596	17308	0.10	0.34	0.56
coarNOTs-029-20	34291	3095	10443	20753	0.09	0.30	0.61
coarNOTs-030-20	50187	4295	15341	30551	0.09	0.31	0.61
coarNOTs-031-20	34699	3540	11829	19330	0.10	0.34	0.56
coarNOTs-032-20	48966	4762	16917	27287	0.10	0.35	0.56
coarNOTs-033-20	37242	3735	12945	20562	0.10	0.35	0.55
coarNOTs-034-20	34221	3664	12097	18460	0.11	0.35	0.54
coarNOTs-035-20	45590	4539	15825	25226	0.10	0.35	0.55
coarNOTs-036-20	61131	8018	28919	24194	0.13	0.47	0.40
coarNOTs-037-20	27833	2849	9614	15370	0.10	0.35	0.55
coarNOTs-038-20	12823	1398	3512	7913	0.11	0.27	0.62
coarNOTs-039-20	13585	1426	4040	8119	0.10	0.30	0.60
coarNOTs-040-20	14576	1301	3556	9719	0.09	0.24	0.67
coarNOTs-10-20	5293	392	854	4047	0.07	0.16	0.76
coarNOTs-11-20	6146	578	1341	4227	0.09	0.22	0.69
coarNOTs-1-20	13899	955	2667	10277	0.07	0.19	0.74
coarNOTs-12-20	8288	672	1694	5922	0.08	0.20	0.71
coarNOTs-13-20	15445	1385	4631	9429	0.09	0.30	0.61
coarNOTs-14-20	4457	403	1001	3053	0.09	0.22	0.68
coarNOTs-15-20	4975	466	1053	3456	0.09	0.21	0.69
coarNOTs-16-20	2982	296	545	2141	0.10	0.18	0.72
coarNOTs-17-20	5010	557	1421	3032	0.11	0.28	0.61
coarNOTs-18-20	5621	456	1122	4043	0.08	0.20	0.72
coarNOTs-19-20	6340	567	1315	4458	0.09	0.21	0.70
coarNOTs-20-20	5359	461	1071	3827	0.09	0.20	0.71
coarNOTs-21-20	4755	476	1039	3240	0.10	0.22	0.68
coarNOTs-2-20	6046	597	1319	4130	0.10	0.22	0.68
coarNOTs-22-20	6122	435	847	4840	0.07	0.14	0.79
coarNOTs-23-20	5779	524	1099	4156	0.09	0.19	0.72
coarNOTs-24-20	3152	185	213	2754	0.06	0.07	0.87
coarNOTs-3-20	4659	446	1063	3150	0.10	0.23	0.68
coarNOTs-4-20	4512	550	1181	2781	0.12	0.26	0.62
coarNOTs-5-20	5368	500	1187	3681	0.09	0.22	0.69
coarNOTs-6-20	5228	465	999	3764	0.09	0.19	0.72
coarNOTs-7-20	6410	490	1175	4745	0.08	0.18	0.74
coarNOTs-7501-21	24421	3059	5808	15554	0.13	0.24	0.64
coarNOTs-7502-21	27399	3454	7322	16623	0.13	0.27	0.61
coarNOTs-7503-21	13370	2293	4092	6985	0.17	0.31	0.52
coarNOTs-7504-21	6433	947	1239	4247	0.15	0.19	0.66
coarNOTs-7505-21	13117	1621	2533	8963	0.12	0.19	0.68
coarNOTs-7506-21	24409	3463	6478	14468	0.14	0.27	0.59
coarNOTs-7507-21	13603	1733	3197	8673	0.13	0.24	0.64
coarNOTs-7508-21	17004	2202	4074	10728	0.13	0.24	0.63
coarNOTs-7509-21	22078	2580	5232	14266	0.12	0.24	0.65
coarNOTs-7510-21	34345	3197	5953	25195	0.09	0.17	0.73
coarNOTs-7511-21	21214	2481	4674	14059	0.12	0.22	0.66
coarNOTs-7512-21	16019	2377	4382	9260	0.15	0.27	0.58
coarNOTs-7513-21	26754	3306	6286	17162	0.12	0.23	0.64
coarNOTs-7514-21	15207	1285	1510	12412	0.08	0.10	0.82
coarNOTs-7515-21	18697	2940	5660	10097	0.16	0.30	0.54
coarNOTs-7516-21	25092	2889	5487	16716	0.12	0.22	0.67
coarNOTs-7517-21	17479	2539	4779	10161	0.15	0.27	0.58
coarNOTs-7518-21	14475	2103	3560	8812	0.15	0.25	0.61
coarNOTs-7519-21	15959	1936	3602	10421	0.12	0.23	0.65
coarNOTs-7520-21	4210	745	1052	2413	0.18	0.25	0.57
coarNOTs-7521-21	31797	3284	6082	22431	0.10	0.19	0.71
coarNOTs-7522-21	27567	3539	6670	17358	0.13	0.24	0.63
coarNOTs-7523-21	21264	2893	5508	12863	0.14	0.26	0.60
coarNOTs-7524-21	22952	3065	5782	14105	0.13	0.25	0.61
coarNOTs-7525-21	30032	3344	6684	20004	0.11	0.22	0.67
coarNOTs-7526-21	15816	1277	1546	12993	0.08	0.10	0.82
coarNOTs-7527-21	27158	3302	6554	17302	0.12	0.24	0.64
coarNOTs-7528-21	20229	2642	4923	12664	0.13	0.24	0.63
coarNOTs-7529-21	10136	1370	2132	6634	0.14	0.21	0.65
coarNOTs-7530-21	20331	2967	5512	11852	0.15	0.27	0.58
coarNOTs-7531-21	22239	3066	5718	13455	0.14	0.26	0.61
coarNOTs-7532-21	6883	1159	1725	3999	0.17	0.25	0.58
coarNOTs-7533-21	5211	971	1773	2467	0.19	0.34	0.47
coarNOTs-7534-21	20005	2826	5191	11988	0.14	0.26	0.60
coarNOTs-7535-21	4692	810	1173	2709	0.17	0.25	0.58
coarNOTs-7536-21	19675	2880	5332	11463	0.15	0.27	0.58
coarNOTs-7537-21	32067	3895	7956	20216	0.12	0.25	0.63
coarNOTs-7538-21	53671	5897	14585	33189	0.11	0.27	0.62
coarNOTs-7539-21	23567	2759	5146	15662	0.12	0.22	0.66
coarNOTs-7540-21	32121	3878	7783	20460	0.12	0.24	0.64
coarNOTs-7541-21	8914	1557	2698	4659	0.17	0.30	0.52
coarNOTs-7542-21	25616	3388	6411	15817	0.13	0.25	0.62
coarNOTs-7543-21	29558	3651	6828	19079	0.12	0.23	0.65
coarNOTs-7544-21	24944	3135	5808	16001	0.13	0.23	0.64
coarNOTs-7545-21	26510	3017	5747	17746	0.11	0.22	0.67
coarNOTs-7546-21	5748	1130	1417	3201	0.20	0.25	0.56
coarNOTs-7547-21	25166	2893	5375	16898	0.11	0.21	0.67
coarNOTs-7548-21	14237	1412	1665	11160	0.10	0.12	0.78
coarNOTs-7549-21	37277	4111	9185	23981	0.11	0.25	0.64
coarNOTs-7550-21	69039	7285	21344	40410	0.11	0.31	0.59
coarNOTs-7551-21	42620	5263	12973	24384	0.12	0.30	0.57
coarNOTs-7552-21	23332	2341	4486	16505	0.10	0.19	0.71
coarNOTs-7553-21	2115	323	458	1334	0.15	0.22	0.63
coarNOTs-7554-21	24309	1466	2248	20595	0.06	0.09	0.85
coarNOTs-7555-21	3437	516	658	2263	0.15	0.19	0.66
coarNOTs-7556-21	34208	3086	6544	24578	0.09	0.19	0.72
coarNOTs-7557-21	38225	4014	9347	24864	0.11	0.24	0.65
coarNOTs-7558-21	33506	3225	7445	22836	0.10	0.22	0.68
coarNOTs-7559-21	38357	3745	8911	25701	0.10	0.23	0.67
coarNOTs-7560-21	9907	951	1341	7615	0.10	0.14	0.77
coarNOTs-7561-21	7550	1436	5767	347	0.19	0.76	0.05
coarNOTs-7562-21	3222	294	337	2591	0.09	0.10	0.80
coarNOTs-7563-21	2203	246	217	1740	0.11	0.10	0.79
coarNOTs-7564-21	5661	546	637	4478	0.10	0.11	0.79
coarNOTs-7565-21	30418	2007	3452	24959	0.07	0.11	0.82
coarNOTs-7566-21	1327	214	235	878	0.16	0.18	0.66
coarNOTs-7567-21	16689	1012	1045	14632	0.06	0.06	0.88
coarNOTs-7568-21	5995	647	693	4655	0.11	0.12	0.78
coarNOTs-7701-21	17744	1450	2459	13835	0.08	0.14	0.78
coarNOTs-7702-21	15221	2038	3538	9645	0.13	0.23	0.63
coarNOTs-7703-21	15710	1793	3306	10611	0.11	0.21	0.68
coarNOTs-7704-21	61410	3752	5681	51977	0.06	0.09	0.85
coarNOTs-7705-21	46418	3511	6828	36079	0.08	0.15	0.78
coarNOTs-7706-21	50662	4293	9579	36790	0.08	0.19	0.73
coarNOTs-7707-21	31670	2618	4654	24398	0.08	0.15	0.77
coarNOTs-7708-21	22718	2519	4664	15535	0.11	0.21	0.68
coarNOTs-7709-21	20567	2726	5017	12824	0.13	0.24	0.62
coarNOTs-7710-21	28515	2400	4302	21813	0.08	0.15	0.76
coarNOTs-7711-21	13871	2022	3780	8069	0.15	0.27	0.58
coarNOTs-7712-21	23443	2290	4108	17045	0.10	0.18	0.73
coarNOTs-7713-21	24823	2588	4662	17573	0.10	0.19	0.71
coarNOTs-7714-21	22493	2456	4697	15340	0.11	0.21	0.68
coarNOTs-7715-21	11047	1390	2310	7347	0.13	0.21	0.67
coarNOTs-7716-21	14865	2198	4143	8524	0.15	0.28	0.57
coarNOTs-7717-21	9550	1654	2886	5010	0.17	0.30	0.52
coarNOTs-7718-21	34616	3684	8160	22772	0.11	0.24	0.66
coarNOTs-7719-21	31522	2767	5431	23324	0.09	0.17	0.74
coarNOTs-7720-21	20160	2621	4955	12584	0.13	0.25	0.62
coarNOTs-7721-21	36212	2505	4863	28844	0.07	0.13	0.80
coarNOTs-7722-21	31030	2304	4135	24591	0.07	0.13	0.79
coarNOTs-7723-21	19749	1888	3537	14324	0.10	0.18	0.73
coarNOTs-7724-21	18077	1932	3626	12519	0.11	0.20	0.69
coarNOTs-7725-21	14683	1980	3681	9022	0.13	0.25	0.61
coarNOTs-7726-21	25242	2898	5721	16623	0.11	0.23	0.66
