Sample	Total Reads	Off-target Reads	Primer Only Reads	Primer Probe Reads	Off-target Proportion	Primer Only Proportion	Primer Probe Proportion
02_input_files/coarCHIm-2435-21_S176_L001_R1_001	22152	2568	6570	13014	0.12	0.30	0.59
02_input_files/coarCHIm-2436-21_S177_L001_R1_001	23288	2425	6822	14041	0.10	0.29	0.60
02_input_files/coarCHIm-2437-21_S178_L001_R1_001	17549	2075	5120	10354	0.12	0.29	0.59
02_input_files/coarCHIm-2438-21_S179_L001_R1_001	17950	2013	5105	10832	0.11	0.28	0.60
02_input_files/coarCHIm-2439-21_S180_L001_R1_001	29219	2736	9053	17430	0.09	0.31	0.60
02_input_files/coarCHIm-2440-21_S181_L001_R1_001	55416	4811	18929	31676	0.09	0.34	0.57
02_input_files/coarCHIm-2441-21_S182_L001_R1_001	31820	2496	7654	21670	0.08	0.24	0.68
02_input_files/coarCHIm-2442-21_S183_L001_R1_001	28590	3028	9083	16479	0.11	0.32	0.58
02_input_files/coarCHIm-2443-21_S184_L001_R1_001	29266	3251	9350	16665	0.11	0.32	0.57
02_input_files/coarCHIm-2444-21_S185_L001_R1_001	23869	2346	7122	14401	0.10	0.30	0.60
02_input_files/coarCHIm-2445-21_S186_L001_R1_001	21309	2194	6018	13097	0.10	0.28	0.61
02_input_files/coarCHIm-2446-21_S187_L001_R1_001	24991	2365	6635	15991	0.09	0.27	0.64
02_input_files/coarCHIm-2447-21_S188_L001_R1_001	27711	2422	7160	18129	0.09	0.26	0.65
02_input_files/coarCHIm-2448-21_S189_L001_R1_001	22676	2099	6435	14142	0.09	0.28	0.62
02_input_files/coarCHIm-2449-21_S190_L001_R1_001	22435	2259	5829	14347	0.10	0.26	0.64
02_input_files/coarCHIm-2450-21_S191_L001_R1_001	73853	6005	22430	45418	0.08	0.30	0.61
02_input_files/coarCHIm-2551-21_S192_L001_R1_001	59784	4227	14065	41492	0.07	0.24	0.69
02_input_files/coarCHIm-2552-21_S193_L001_R1_001	87129	12912	48000	26217	0.15	0.55	0.30
02_input_files/coarCHIm-2553-21_S194_L001_R1_001	99944	6221	28203	65520	0.06	0.28	0.66
02_input_files/coarCHIm-2554-21_S195_L001_R1_001	67663	3536	13800	50327	0.05	0.20	0.74
02_input_files/coarCHIm-2555-21_S196_L001_R1_001	61378	3460	12933	44985	0.06	0.21	0.73
02_input_files/coarCHIm-2556-21_S197_L001_R1_001	68849	3575	17177	48097	0.05	0.25	0.70
02_input_files/coarCHIm-2557-21_S198_L001_R1_001	63568	4443	16891	42234	0.07	0.27	0.66
02_input_files/coarCHIm-2558-21_S199_L001_R1_001	71280	5455	20544	45281	0.08	0.29	0.64
02_input_files/coarCHIm-2559-21_S200_L001_R1_001	100986	5031	22179	73776	0.05	0.22	0.73
02_input_files/coarCHIm-2560-21_S201_L001_R1_001	70566	5177	19667	45722	0.07	0.28	0.65
02_input_files/coarCHIm-2561-21_S202_L001_R1_001	113582	5779	25873	81930	0.05	0.23	0.72
