Sample	Total Reads	Off-target Reads	Primer Only Reads	Primer Probe Reads	Off-target Proportion	Primer Only Proportion	Primer Probe Proportion
02_input_files/coarCHIm-M29-23_S208_L001_R1_001	17807	2028	5994	9785	0.11	0.34	0.55
02_input_files/coarCHIm-M30-23_S209_L001_R1_001	14428	1894	5228	7306	0.13	0.36	0.51
02_input_files/coarCHIm-M31-23_S210_L001_R1_001	10501	1455	3689	5357	0.14	0.35	0.51
02_input_files/coarCHIm-M32-23_S211_L001_R1_001	12128	1767	4188	6173	0.15	0.35	0.51
02_input_files/coarCHIm-M33-23_S212_L001_R1_001	9052	1362	3415	4275	0.15	0.38	0.47
02_input_files/coarCHIm-M34-23_S213_L001_R1_001	14708	1863	5122	7723	0.13	0.35	0.53
02_input_files/coarCHIm-M35-23_S214_L001_R1_001	12758	1941	4872	5945	0.15	0.38	0.47
02_input_files/coarCHIm-M36-23_S215_L001_R1_001	13719	1860	4784	7075	0.14	0.35	0.52
02_input_files/coarCHIm-M37-23_S216_L001_R1_001	26871	3146	9691	14034	0.12	0.36	0.52
02_input_files/coarCHIm-M38-23_S217_L001_R1_001	18096	2529	7074	8493	0.14	0.39	0.47
02_input_files/coarCHIm-M39-23_S218_L001_R1_001	13941	1908	5330	6703	0.14	0.38	0.48
02_input_files/coarCHIm-M40-23_S219_L001_R1_001	15166	2022	5244	7900	0.13	0.35	0.52
02_input_files/coarCHIm-M41-23_S220_L001_R1_001	18257	2201	6242	9814	0.12	0.34	0.54
02_input_files/coarCHIm-M42-23_S221_L001_R1_001	14623	1966	5046	7611	0.13	0.35	0.52
02_input_files/coarCHIm-M43-23_S222_L001_R1_001	11703	1850	4564	5289	0.16	0.39	0.45
02_input_files/coarCHIm-M44-23_S223_L001_R1_001	11702	1633	4140	5929	0.14	0.35	0.51
02_input_files/coarCHIm-M45-23_S224_L001_R1_001	13089	1611	4505	6973	0.12	0.34	0.53
02_input_files/coarCHIm-M46-23_S225_L001_R1_001	15481	1919	5229	8333	0.12	0.34	0.54
02_input_files/coarCHIm-M47-23_S226_L001_R1_001	11397	1659	4168	5570	0.15	0.37	0.49
02_input_files/coarCHIm-M48-23_S227_L001_R1_001	11240	1648	4100	5492	0.15	0.36	0.49
02_input_files/coarCHIm-M49-23_S228_L001_R1_001	22576	2953	8742	10881	0.13	0.39	0.48
02_input_files/coarCHIm-M50-23_S229_L001_R1_001	17765	2657	7194	7914	0.15	0.40	0.45
02_input_files/coarCHIm-M51-23_S230_L001_R1_001	12567	1797	4556	6214	0.14	0.36	0.49
02_input_files/coarCHIm-M52-23_S231_L001_R1_001	12846	1818	4587	6441	0.14	0.36	0.50
02_input_files/coarCHIm-M53-23_S232_L001_R1_001	14833	1897	5049	7887	0.13	0.34	0.53
02_input_files/coarCHIm-M54-23_S233_L001_R1_001	12791	1761	4699	6331	0.14	0.37	0.49
02_input_files/coarCHIm-M55-23_S234_L001_R1_001	11926	1775	4319	5832	0.15	0.36	0.49
02_input_files/coarCHIm-M56-23_S235_L001_R1_001	12361	1692	4374	6295	0.14	0.35	0.51
02_input_files/coarCHIm-M57-23_S236_L001_R1_001	15199	2178	5838	7183	0.14	0.38	0.47
02_input_files/coarCHIm-M58-23_S237_L001_R1_001	7638	1158	2959	3521	0.15	0.39	0.46
02_input_files/coarCHIm-M59-23_S238_L001_R1_001	12828	1907	4625	6296	0.15	0.36	0.49
02_input_files/coarCHIm-M60-23_S239_L001_R1_001	11571	1568	3992	6011	0.14	0.35	0.52
02_input_files/coarCHIm-M61-23_S240_L001_R1_001	22822	2900	8350	11572	0.13	0.37	0.51
02_input_files/coarCHIm-M62-23_S241_L001_R1_001	19095	2664	7851	8580	0.14	0.41	0.45
02_input_files/coarCHIm-M6-23_S281_L001_R1_001	14489	1845	5117	7527	0.13	0.35	0.52
02_input_files/coarCHIm-M63-23_S242_L001_R1_001	13100	1868	4845	6387	0.14	0.37	0.49
02_input_files/coarCHIm-M64-23_S243_L001_R1_001	16002	2661	6867	6474	0.17	0.43	0.40
02_input_files/coarCHIm-M65-23_S244_L001_R1_001	13415	1955	4954	6506	0.15	0.37	0.48
02_input_files/coarCHIm-M66-23_S245_L001_R1_001	14853	1854	5270	7729	0.12	0.35	0.52
02_input_files/coarCHIm-M67-23_S246_L001_R1_001	12953	1957	5188	5808	0.15	0.40	0.45
02_input_files/coarCHIm-M68-23_S247_L001_R1_001	11477	1699	4159	5619	0.15	0.36	0.49
02_input_files/coarCHIm-M69-23_S248_L001_R1_001	11791	1869	4841	5081	0.16	0.41	0.43
02_input_files/coarCHIm-M70-23_S249_L001_R1_001	1391	184	621	586	0.13	0.45	0.42
02_input_files/coarCHIm-M71-23_S250_L001_R1_001	11387	1766	4416	5205	0.16	0.39	0.46
02_input_files/coarCHIm-M72-23_S251_L001_R1_001	14795	2054	5296	7445	0.14	0.36	0.50
02_input_files/coarCHIm-M7-23_S282_L001_R1_001	13816	1849	5135	6832	0.13	0.37	0.49
02_input_files/coarCHIm-M8-23_S283_L001_R1_001	16171	1934	5312	8925	0.12	0.33	0.55
02_input_files/coarCHIm-M9-23_S284_L001_R1_001	16288	1888	5328	9072	0.12	0.33	0.56
02_input_files/coarEASm-188-21_S97_L001_R1_001	101118	12961	41749	46408	0.13	0.41	0.46
02_input_files/coarEASm-190-21_S98_L001_R1_001	62338	6505	18115	37718	0.10	0.29	0.61
02_input_files/coarEASm-191-21_S99_L001_R1_001	40628	3263	6603	30762	0.08	0.16	0.76
02_input_files/coarEASm-192-21_S100_L001_R1_001	44798	3446	6211	35141	0.08	0.14	0.78
02_input_files/coarEASm-193-21_S101_L001_R1_001	51107	4889	12846	33372	0.10	0.25	0.65
02_input_files/coarEASm-194-21_S102_L001_R1_001	44330	4267	9767	30296	0.10	0.22	0.68
02_input_files/coarEASm-195-21_S103_L001_R1_001	38674	4262	10337	24075	0.11	0.27	0.62
02_input_files/coarEASm-196-21_S104_L001_R1_001	49424	4589	10630	34205	0.09	0.22	0.69
02_input_files/coarEASm-197-21_S105_L001_R1_001	56985	5426	14034	37525	0.10	0.25	0.66
02_input_files/coarEASm-198-21_S106_L001_R1_001	51510	5256	12393	33861	0.10	0.24	0.66
02_input_files/coarEASm-199-21_S107_L001_R1_001	54548	4898	11676	37974	0.09	0.21	0.70
02_input_files/coarEASm-200-21_S108_L001_R1_001	107868	9542	30826	67500	0.09	0.29	0.63
02_input_files/coarEASm-201-21_S109_L001_R1_001	34834	3501	7996	23337	0.10	0.23	0.67
02_input_files/coarEASm-202-21_S110_L001_R1_001	21428	2854	5753	12821	0.13	0.27	0.60
02_input_files/coarEASm-203-21_S111_L001_R1_001	22925	2729	5521	14675	0.12	0.24	0.64
02_input_files/coarEASm-204-21_S112_L001_R1_001	26931	3298	6531	17102	0.12	0.24	0.64
02_input_files/coarEASm-205-21_S113_L001_R1_001	28877	3155	6812	18910	0.11	0.24	0.65
02_input_files/coarEASm-206-21_S114_L001_R1_001	29109	3381	7297	18431	0.12	0.25	0.63
02_input_files/coarEASm-207-21_S115_L001_R1_001	27253	3195	6743	17315	0.12	0.25	0.64
02_input_files/coarEASm-208-21_S116_L001_R1_001	25110	3170	6373	15567	0.13	0.25	0.62
02_input_files/coarEASm-209-21_S117_L001_R1_001	28155	3445	7183	17527	0.12	0.26	0.62
02_input_files/coarEASm-210-21_S118_L001_R1_001	26833	3517	7101	16215	0.13	0.26	0.60
02_input_files/coarEASm-211-21_S119_L001_R1_001	22443	3091	5833	13519	0.14	0.26	0.60
02_input_files/coarEASm-212-21_S120_L001_R1_001	41039	5035	11581	24423	0.12	0.28	0.60
02_input_files/coarEASm-213-21_S121_L001_R1_001	29378	3570	7835	17973	0.12	0.27	0.61
02_input_files/coarEASm-214-21_S122_L001_R1_001	23811	2996	6167	14648	0.13	0.26	0.62
02_input_files/coarEASm-215-21_S123_L001_R1_001	20331	2548	5244	12539	0.13	0.26	0.62
02_input_files/coarEASm-216-21_S124_L001_R1_001	28401	3459	7227	17715	0.12	0.25	0.62
02_input_files/coarEASm-217-21_S125_L001_R1_001	23065	2871	5601	14593	0.12	0.24	0.63
02_input_files/coarEASm-218-21_S126_L001_R1_001	23039	2716	5281	15042	0.12	0.23	0.65
02_input_files/coarEASm-219-21_S127_L001_R1_001	23262	2817	5855	14590	0.12	0.25	0.63
02_input_files/coarEASm-220-21_S128_L001_R1_001	21680	2569	5099	14012	0.12	0.24	0.65
02_input_files/coarEASm-221-21_S129_L001_R1_001	28462	3126	6329	19007	0.11	0.22	0.67
02_input_files/coarEASm-222-21_S130_L001_R1_001	23706	2477	4814	16415	0.10	0.20	0.69
02_input_files/coarEASm-223-21_S131_L001_R1_001	21675	2691	5491	13493	0.12	0.25	0.62
02_input_files/coarEASm-224-21_S132_L001_R1_001	33682	3312	7126	23244	0.10	0.21	0.69
02_input_files/coarEASm-225-21_S133_L001_R1_001	33633	4078	9005	20550	0.12	0.27	0.61
02_input_files/coarEASm-226-21_S134_L001_R1_001	23284	3288	6777	13219	0.14	0.29	0.57
02_input_files/coarEASm-227-21_S135_L001_R1_001	26279	3045	5907	17327	0.12	0.22	0.66
02_input_files/coarEASm-228-21_S136_L001_R1_001	28936	2939	5874	20123	0.10	0.20	0.70
02_input_files/coarEASm-229-21_S137_L001_R1_001	22639	3022	6120	13497	0.13	0.27	0.60
02_input_files/coarEASm-230-21_S138_L001_R1_001	20867	2871	5884	12112	0.14	0.28	0.58
02_input_files/coarEASm-231-21_S139_L001_R1_001	23570	3035	5851	14684	0.13	0.25	0.62
02_input_files/coarEASm-232-21_S140_L001_R1_001	24229	3319	6669	14241	0.14	0.28	0.59
02_input_files/coarEASm-233-21_S141_L001_R1_001	24146	3315	6618	14213	0.14	0.27	0.59
02_input_files/coarEASm-234-21_S142_L001_R1_001	23141	2723	5212	15206	0.12	0.23	0.66
02_input_files/coarEASm-235-21_S143_L001_R1_001	29171	2794	5417	20960	0.10	0.19	0.72
02_input_files/coarEASm-236-21_S144_L001_R1_001	34250	3612	7588	23050	0.11	0.22	0.67
02_input_files/coarEASm-237-21_S145_L001_R1_001	28081	3092	7189	17800	0.11	0.26	0.63
02_input_files/coarEASm-238-21_S146_L001_R1_001	20251	2720	5338	12193	0.13	0.26	0.60
02_input_files/coarEASm-239-21_S147_L001_R1_001	22327	3054	6220	13053	0.14	0.28	0.58
02_input_files/coarEASm-240-21_S148_L001_R1_001	25684	3182	6621	15881	0.12	0.26	0.62
02_input_files/coarEASm-241-21_S149_L001_R1_001	21702	2893	5874	12935	0.13	0.27	0.60
02_input_files/coarEASm-242-21_S150_L001_R1_001	22154	2701	5320	14133	0.12	0.24	0.64
02_input_files/coarEASm-243-21_S151_L001_R1_001	21980	2925	5699	13356	0.13	0.26	0.61
02_input_files/coarEASm-244-21_S152_L001_R1_001	21543	2627	5744	13172	0.12	0.27	0.61
02_input_files/coarEASm-245-21_S153_L001_R1_001	21485	2802	5222	13461	0.13	0.24	0.63
02_input_files/coarEASm-246-21_S154_L001_R1_001	17532	2252	4534	10746	0.13	0.26	0.61
02_input_files/coarEASm-247-21_S155_L001_R1_001	22715	2847	5739	14129	0.13	0.25	0.62
02_input_files/coarEASm-248-21_S156_L001_R1_001	26629	3142	6802	16685	0.12	0.26	0.63
02_input_files/coarEASm-249-21_S157_L001_R1_001	37362	3900	8945	24517	0.10	0.24	0.66
02_input_files/coarEASm-250-21_S158_L001_R1_001	25089	3120	6345	15624	0.12	0.25	0.62
02_input_files/coarEASm-251-21_S159_L001_R1_001	22986	3277	6578	13131	0.14	0.29	0.57
02_input_files/coarEASm-252-21_S160_L001_R1_001	26877	3469	6850	16558	0.13	0.25	0.62
02_input_files/coarEASm-253-21_S161_L001_R1_001	23041	3008	6572	13461	0.13	0.29	0.58
02_input_files/coarEASm-254-21_S162_L001_R1_001	19871	2797	5210	11864	0.14	0.26	0.60
02_input_files/coarEASm-255-21_S163_L001_R1_001	22913	3110	6139	13664	0.14	0.27	0.60
02_input_files/coarEASm-256-21_S164_L001_R1_001	21824	2941	5942	12941	0.13	0.27	0.59
02_input_files/coarEASm-257-21_S165_L001_R1_001	21752	3041	5514	13197	0.14	0.25	0.61
02_input_files/coarEASm-258-21_S166_L001_R1_001	19648	2629	4991	12028	0.13	0.25	0.61
02_input_files/coarEASm-259-21_S167_L001_R1_001	20789	2921	5761	12107	0.14	0.28	0.58
02_input_files/coarEASm-276-21_S168_L001_R1_001	35053	3936	8448	22669	0.11	0.24	0.65
02_input_files/coarEASm-277-21_S169_L001_R1_001	22413	2291	5235	14887	0.10	0.23	0.66
02_input_files/coarEASm-278-21_S170_L001_R1_001	24215	3195	6545	14475	0.13	0.27	0.60
02_input_files/coarEASm-279-21_S171_L001_R1_001	22946	3212	6427	13307	0.14	0.28	0.58
02_input_files/coarEASm-280-21_S172_L001_R1_001	22884	3229	7314	12341	0.14	0.32	0.54
02_input_files/coarEASm-282-21_S173_L001_R1_001	18654	2617	5277	10760	0.14	0.28	0.58
02_input_files/coarEASm-283-21_S174_L001_R1_001	24942	3308	6977	14657	0.13	0.28	0.59
02_input_files/coarEASm-284-21_S175_L001_R1_001	24332	3337	6554	14441	0.14	0.27	0.59
02_input_files/coarEASm-285-21_S176_L001_R1_001	23773	2989	5849	14935	0.13	0.25	0.63
02_input_files/coarEASm-286-21_S177_L001_R1_001	15328	1711	2653	10964	0.11	0.17	0.72
02_input_files/coarEASm-320-21_S178_L001_R1_001	22313	2893	5688	13732	0.13	0.25	0.62
02_input_files/coarEASm-321-21_S179_L001_R1_001	24065	3119	6266	14680	0.13	0.26	0.61
02_input_files/coarEASm-4237-22_S430_L001_R1_001	22930	2563	6667	13700	0.11	0.29	0.60
02_input_files/coarEASm-4241-22_S431_L001_R1_001	19584	2090	5267	12227	0.11	0.27	0.62
02_input_files/coarEASm-4265-22_S432_L001_R1_001	31457	2489	7719	21249	0.08	0.25	0.68
02_input_files/coarEASm-4298-22_S433_L001_R1_001	53015	4919	16466	31630	0.09	0.31	0.60
02_input_files/coarEASm-4299-22_S434_L001_R1_001	24795	2883	7342	14570	0.12	0.30	0.59
02_input_files/coarEASm-4300-22_S435_L001_R1_001	30166	3628	9319	17219	0.12	0.31	0.57
02_input_files/coarEASm-4354-22_S436_L001_R1_001	26487	3188	8226	15073	0.12	0.31	0.57
02_input_files/coarEASm-4355-22_S437_L001_R1_001	23969	2957	7221	13791	0.12	0.30	0.58
02_input_files/coarEASm-4356-22_S438_L001_R1_001	22301	2521	6331	13449	0.11	0.28	0.60
02_input_files/coarEASm-4357-22_S439_L001_R1_001	20504	2650	6436	11418	0.13	0.31	0.56
02_input_files/coarEASm-4380-22_S440_L001_R1_001	24062	3175	8032	12855	0.13	0.33	0.53
02_input_files/coarEASm-4381-22_S441_L001_R1_001	19026	2417	5680	10929	0.13	0.30	0.57
02_input_files/coarEASm-4382-22_S442_L001_R1_001	19207	2224	5597	11386	0.12	0.29	0.59
02_input_files/coarEASm-4415-22_S443_L001_R1_001	7	3	2	2	0.43	0.29	0.29
02_input_files/coarEASm-4432-22_S444_L001_R1_001	24228	1924	5900	16404	0.08	0.24	0.68
02_input_files/coarEASm-4433-22_S445_L001_R1_001	42127	3814	12907	25406	0.09	0.31	0.60
02_input_files/coarEASm-5136-22_S446_L001_R1_001	23023	2702	7215	13106	0.12	0.31	0.57
02_input_files/coarEASm-5137-22_S447_L001_R1_001	26759	3049	7802	15908	0.11	0.29	0.59
02_input_files/coarEASm-5138-22_S448_L001_R1_001	24886	2891	7977	14018	0.12	0.32	0.56
02_input_files/coarEASm-5139-22_S449_L001_R1_001	24344	2982	7736	13626	0.12	0.32	0.56
02_input_files/coarEASm-5140-22_S450_L001_R1_001	24970	2649	6631	15690	0.11	0.27	0.63
02_input_files/coarEASm-5141-22_S451_L001_R1_001	22967	3039	7460	12468	0.13	0.32	0.54
02_input_files/coarEASm-527-21_S1_L001_R1_001	194397	36453	122781	35163	0.19	0.63	0.18
02_input_files/coarEASm-528-21_S180_L001_R1_001	34509	4351	10557	19601	0.13	0.31	0.57
02_input_files/coarEASm-529-21_S181_L001_R1_001	54132	4495	10173	39464	0.08	0.19	0.73
02_input_files/coarEASm-530-21_S182_L001_R1_001	22728	2956	6428	13344	0.13	0.28	0.59
02_input_files/coarEASm-531-21_S183_L001_R1_001	2403	1075	1325	3	0.45	0.55	0.00
02_input_files/coarEASm-532-21_S184_L001_R1_001	21097	3361	6614	11122	0.16	0.31	0.53
02_input_files/coarEASm-533-21_S185_L001_R1_001	25980	3449	6855	15676	0.13	0.26	0.60
02_input_files/coarEASm-534-21_S186_L001_R1_001	23791	3237	6708	13846	0.14	0.28	0.58
02_input_files/coarEASm-535-21_S187_L001_R1_001	26465	3516	7058	15891	0.13	0.27	0.60
02_input_files/coarEASm-536-21_S188_L001_R1_001	22241	3067	6010	13164	0.14	0.27	0.59
02_input_files/coarEASm-537-21_S189_L001_R1_001	22402	3022	6020	13360	0.13	0.27	0.60
02_input_files/coarEASm-538-21_S190_L001_R1_001	24421	2942	5792	15687	0.12	0.24	0.64
02_input_files/coarEASm-539-21_S191_L001_R1_001	26487	3278	6514	16695	0.12	0.25	0.63
02_input_files/coarEASm-540-21_S192_L001_R1_001	51376	5546	13895	31935	0.11	0.27	0.62
02_input_files/coarEASm-541-21_S193_L001_R1_001	75870	7091	14039	54740	0.09	0.19	0.72
02_input_files/coarEASm-542-21_S194_L001_R1_001	72764	9830	28230	34704	0.14	0.39	0.48
02_input_files/coarEASm-543-21_S195_L001_R1_001	64152	8950	25440	29762	0.14	0.40	0.46
02_input_files/coarEASm-544-21_S196_L001_R1_001	46869	8322	19958	18589	0.18	0.43	0.40
02_input_files/coarEASm-545-21_S197_L001_R1_001	57976	7316	19804	30856	0.13	0.34	0.53
02_input_files/coarEASm-546-21_S198_L001_R1_001	62175	7172	20771	34232	0.12	0.33	0.55
02_input_files/coarEASm-547-21_S199_L001_R1_001	67069	5635	15784	45650	0.08	0.24	0.68
02_input_files/coarEASm-548-21_S200_L001_R1_001	76492	7365	22608	46519	0.10	0.30	0.61
02_input_files/coarEASm-549-21_S201_L001_R1_001	66209	6804	19749	39656	0.10	0.30	0.60
02_input_files/coarEASm-550-21_S202_L001_R1_001	35728	3289	7406	25033	0.09	0.21	0.70
02_input_files/coarEASm-572-21_S2_L001_R1_001	88159	8359	33768	46032	0.09	0.38	0.52
02_input_files/coarEASm-573-21_S3_L001_R1_001	78796	7562	29342	41892	0.10	0.37	0.53
02_input_files/coarEASm-574-21_S4_L001_R1_001	61258	4795	18307	38156	0.08	0.30	0.62
02_input_files/coarEASm-575-21_S5_L001_R1_001	63510	5836	21113	36561	0.09	0.33	0.58
02_input_files/coarEASm-576-21_S6_L001_R1_001	66106	6111	23135	36860	0.09	0.35	0.56
02_input_files/coarEASm-601-21_S7_L001_R1_001	77181	6899	26678	43604	0.09	0.35	0.56
02_input_files/coarEASm-602-21_S8_L001_R1_001	74232	6826	27173	40233	0.09	0.37	0.54
02_input_files/coarEASm-603-21_S9_L001_R1_001	67297	5903	22787	38607	0.09	0.34	0.57
02_input_files/coarEASm-604-21_S10_L001_R1_001	54151	4145	17097	32909	0.08	0.32	0.61
02_input_files/coarEASm-605-21_S11_L001_R1_001	86052	6927	28484	50641	0.08	0.33	0.59
02_input_files/coarEASm-606-21_S12_L001_R1_001	163539	27691	94097	41751	0.17	0.58	0.26
02_input_files/coarEASm-607-21_S13_L001_R1_001	51012	4416	15369	31227	0.09	0.30	0.61
02_input_files/coarEASm-608-21_S14_L001_R1_001	15267	1263	3495	10509	0.08	0.23	0.69
02_input_files/coarEASm-609-21_S15_L001_R1_001	27683	2522	6841	18320	0.09	0.25	0.66
02_input_files/coarEASm-610-21_S16_L001_R1_001	22874	2389	6063	14422	0.10	0.27	0.63
02_input_files/coarEASm-611-21_S17_L001_R1_001	19624	2168	5397	12059	0.11	0.28	0.61
02_input_files/coarEASm-612-21_S18_L001_R1_001	16543	1717	4363	10463	0.10	0.26	0.63
02_input_files/coarEASm-613-21_S19_L001_R1_001	14471	1516	3670	9285	0.10	0.25	0.64
02_input_files/coarEASm-614-21_S20_L001_R1_001	19608	1893	4872	12843	0.10	0.25	0.65
02_input_files/coarEASm-615-21_S21_L001_R1_001	20220	1917	4851	13452	0.09	0.24	0.67
02_input_files/coarEASm-616-21_S22_L001_R1_001	19622	1938	4872	12812	0.10	0.25	0.65
02_input_files/coarEASm-617-21_S23_L001_R1_001	21581	2169	5145	14267	0.10	0.24	0.66
02_input_files/coarEASm-618-21_S24_L001_R1_001	33489	2848	9011	21630	0.09	0.27	0.65
02_input_files/coarEASm-619-21_S25_L001_R1_001	39234	2896	9956	26382	0.07	0.25	0.67
02_input_files/coarEASm-655-21_S26_L001_R1_001	18491	2037	5189	11265	0.11	0.28	0.61
02_input_files/coarEASm-656-21_S27_L001_R1_001	17255	1668	4337	11250	0.10	0.25	0.65
02_input_files/coarEASm-657-21_S28_L001_R1_001	17736	2110	5056	10570	0.12	0.29	0.60
02_input_files/coarEASm-658-21_S29_L001_R1_001	18103	2159	5193	10751	0.12	0.29	0.59
02_input_files/coarEASm-785-22_S369_L001_R1_001	22805	2598	6099	14108	0.11	0.27	0.62
02_input_files/coarEASm-786-22_S370_L001_R1_001	20760	2258	5465	13037	0.11	0.26	0.63
02_input_files/coarEASm-787-22_S371_L001_R1_001	25129	2591	6205	16333	0.10	0.25	0.65
02_input_files/coarEASm-788-22_S372_L001_R1_001	31308	2887	7383	21038	0.09	0.24	0.67
02_input_files/coarEASm-789-22_S373_L001_R1_001	79719	7175	27189	45355	0.09	0.34	0.57
02_input_files/coarEASm-790-22_S374_L001_R1_001	31836	3300	8513	20023	0.10	0.27	0.63
02_input_files/coarEASm-791-22_S375_L001_R1_001	30807	3483	8742	18582	0.11	0.28	0.60
02_input_files/coarEASm-792-22_S376_L001_R1_001	24381	2579	6738	15064	0.11	0.28	0.62
02_input_files/coarEASm-793-22_S377_L001_R1_001	28236	2899	7421	17916	0.10	0.26	0.63
02_input_files/coarEASm-795-22_S378_L001_R1_001	31109	3376	8656	19077	0.11	0.28	0.61
02_input_files/coarEASm-796-22_S379_L001_R1_001	27526	2561	6601	18364	0.09	0.24	0.67
02_input_files/coarEASm-797-22_S380_L001_R1_001	72814	7653	24148	41013	0.11	0.33	0.56
02_input_files/coarEASm-799-22_S381_L001_R1_001	27116	2758	6766	17592	0.10	0.25	0.65
02_input_files/coarEASm-802-22_S382_L001_R1_001	64576	5798	18290	40488	0.09	0.28	0.63
02_input_files/coarEASm-803-22_S383_L001_R1_001	27141	2686	6611	17844	0.10	0.24	0.66
02_input_files/coarEASm-805-22_S384_L001_R1_001	147609	15041	61351	71217	0.10	0.42	0.48
02_input_files/coarEASm-806-22_S385_L001_R1_001	201943	29457	114712	57774	0.15	0.57	0.29
02_input_files/coarEASm-807-22_S386_L001_R1_001	98301	8442	37034	52825	0.09	0.38	0.54
02_input_files/coarEASm-808-22_S387_L001_R1_001	65936	6759	24765	34412	0.10	0.38	0.52
02_input_files/coarEASm-809-22_S388_L001_R1_001	67082	5959	22633	38490	0.09	0.34	0.57
02_input_files/coarEASm-810-22_S389_L001_R1_001	61405	6767	24321	30317	0.11	0.40	0.49
02_input_files/coarEASm-811-22_S390_L001_R1_001	64990	5839	21517	37634	0.09	0.33	0.58
02_input_files/coarEASm-812-22_S391_L001_R1_001	73376	5835	22917	44624	0.08	0.31	0.61
02_input_files/coarEASm-813-22_S392_L001_R1_001	83704	8265	31607	43832	0.10	0.38	0.52
02_input_files/coarEASm-814-22_S393_L001_R1_001	57824	5357	18839	33628	0.09	0.33	0.58
02_input_files/coarEASm-815-22_S394_L001_R1_001	52754	4635	17502	30617	0.09	0.33	0.58
02_input_files/coarEASm-817-22_S395_L001_R1_001	76774	5497	22440	48837	0.07	0.29	0.64
02_input_files/coarEASm-818-22_S396_L001_R1_001	109132	14313	46996	47823	0.13	0.43	0.44
02_input_files/coarEASm-820-22_S397_L001_R1_001	48704	4300	15058	29346	0.09	0.31	0.60
02_input_files/coarEASm-821-22_S398_L001_R1_001	14567	1635	4194	8738	0.11	0.29	0.60
02_input_files/coarEASm-823-22_S399_L001_R1_001	25518	3015	7655	14848	0.12	0.30	0.58
02_input_files/coarEASm-824-22_S400_L001_R1_001	21226	2681	6455	12090	0.13	0.30	0.57
02_input_files/coarEASm-825-22_S401_L001_R1_001	26946	3785	9168	13993	0.14	0.34	0.52
02_input_files/coarEASm-836-22_S402_L001_R1_001	21508	2787	6787	11934	0.13	0.32	0.55
02_input_files/coarEASm-837-22_S403_L001_R1_001	23014	3172	7539	12303	0.14	0.33	0.53
02_input_files/coarEASm-838-22_S404_L001_R1_001	23519	2862	7124	13533	0.12	0.30	0.58
02_input_files/coarEASm-839-22_S405_L001_R1_001	24753	2983	7233	14537	0.12	0.29	0.59
02_input_files/coarEASm-852-22_S406_L001_R1_001	20056	2290	5940	11826	0.11	0.30	0.59
02_input_files/coarEASm-856-22_S407_L001_R1_001	21155	2066	5285	13804	0.10	0.25	0.65
02_input_files/coarEASm-858-22_S408_L001_R1_001	35650	3348	10609	21693	0.09	0.30	0.61
02_input_files/coarEASm-867-22_S409_L001_R1_001	34659	4044	12290	18325	0.12	0.35	0.53
02_input_files/coarEASm-877-22_S410_L001_R1_001	23510	2874	7265	13371	0.12	0.31	0.57
02_input_files/coarEASm-905-22_S411_L001_R1_001	25692	3450	8711	13531	0.13	0.34	0.53
02_input_files/coarEASm-909-22_S412_L001_R1_001	25144	2983	7505	14656	0.12	0.30	0.58
02_input_files/coarEASm-910-22_S413_L001_R1_001	24498	3303	8155	13040	0.13	0.33	0.53
02_input_files/coarEASm-911-22_S414_L001_R1_001	21323	2910	7743	10670	0.14	0.36	0.50
02_input_files/coarEASm-914-22_S415_L001_R1_001	20663	2901	6790	10972	0.14	0.33	0.53
02_input_files/coarEASm-926-22_S416_L001_R1_001	22892	3000	7038	12854	0.13	0.31	0.56
02_input_files/coarEASm-928-22_S417_L001_R1_001	20041	2471	5850	11720	0.12	0.29	0.58
02_input_files/coarEASm-929-22_S418_L001_R1_001	18216	2030	4966	11220	0.11	0.27	0.62
02_input_files/coarEASm-930-22_S419_L001_R1_001	20700	2184	5504	13012	0.11	0.27	0.63
02_input_files/coarEASm-931-22_S420_L001_R1_001	20346	1949	5597	12800	0.10	0.28	0.63
02_input_files/coarEASm-934-22_S421_L001_R1_001	42683	4144	13340	25199	0.10	0.31	0.59
02_input_files/coarEASm-935-22_S422_L001_R1_001	25254	3060	7962	14232	0.12	0.32	0.56
02_input_files/coarEASm-936-22_S423_L001_R1_001	28749	3843	9672	15234	0.13	0.34	0.53
02_input_files/coarEASm-937-22_S424_L001_R1_001	23926	2960	7431	13535	0.12	0.31	0.57
02_input_files/coarEASm-938-22_S425_L001_R1_001	25966	3389	9247	13330	0.13	0.36	0.51
02_input_files/coarEASm-940-22_S426_L001_R1_001	21782	2929	7297	11556	0.13	0.34	0.53
02_input_files/coarEASm-941-22_S427_L001_R1_001	17460	2579	6307	8574	0.15	0.36	0.49
02_input_files/coarEASm-942-22_S428_L001_R1_001	22845	3140	7460	12245	0.14	0.33	0.54
02_input_files/coarEASm-946-22_S429_L001_R1_001	25652	3256	8197	14199	0.13	0.32	0.55
02_input_files/coarEASs-578-21_S289_L001_R1_001	108821	8614	25654	74553	0.08	0.24	0.69
02_input_files/coarEASs-580-22_S290_L001_R1_001	65635	6650	17860	41125	0.10	0.27	0.63
02_input_files/coarEASs-581-23_S291_L001_R1_001	41931	4697	10953	26281	0.11	0.26	0.63
02_input_files/coarEASs-582-24_S292_L001_R1_001	57320	5431	13527	38362	0.09	0.24	0.67
02_input_files/coarEASs-583-25_S293_L001_R1_001	37364	4083	9459	23822	0.11	0.25	0.64
